,Rank,Name,Total,Singles,Doubles
0,1,"Alcaraz, Carlos","3,703,785","3,703,785",0
1,2,"Sinner, Jannik","3,225,015","3,215,260","9,755"
2,3,"Zverev, Alexander","1,956,225","1,860,870","95,355"
3,4,"Medvedev, Daniil","1,801,895","1,792,140","9,755"
4,5,"de Minaur, Alex","1,579,269","1,559,759","19,510"
5,6,"Djokovic, Novak","1,559,555","1,541,705","17,850"
6,7,"Shelton, Ben","1,201,415","1,171,155","30,260"
7,8,"Auger-Aliassime, Felix","1,175,828","1,157,978","17,850"
8,9,"Fritz, Taylor","1,110,927","1,110,927",0
9,10,"Mensik, Jakub","969,427","969,427",0
10,11,"Etcheverry, Tomas Martin","956,427","898,749","57,678"
11,12,"Lehecka, Jiri","947,705","929,855","17,850"
12,13,"Hurkacz, Hubert","934,973","928,011","6,962"
13,14,"Cobolli, Flavio","893,717","882,347","11,370"
14,15,"Tiafoe, Frances","888,499","878,744","9,755"
15,16,"Fils, Arthur","863,557","863,557",0
16,17,"Tien, Learner","834,995","823,335","11,660"
17,18,"Paul, Tommy","832,127","830,372","1,755"
18,19,"Cerundolo, Francisco","794,864","763,737","31,127"
19,20,"Bublik, Alexander","767,635","729,462","38,173"
20,21,"Rublev, Andrey","706,444","657,134","49,310"
21,22,"Griekspoor, Tallon","705,681","659,647","46,034"
22,23,"Ruud, Casper","685,122","685,122",0
23,24,"Darderi, Luciano","679,100","636,377","42,723"
24,25,"Tsitsipas, Stefanos","672,080","642,485","29,595"
25,26,"Baez, Sebastian","656,500","639,972","16,528"
26,27,"Bergs, Zizou","643,946","629,253","14,693"
27,28,"Vacherot, Valentin","630,932","490,549","140,383"
28,29,"Rinderknech, Arthur","630,456","478,653","151,803"
29,30,"Musetti, Lorenzo","617,665","599,150","18,515"
30,31,"Humbert, Ugo","559,185","551,138","8,047"
31,32,"Khachanov, Karen","553,304","497,757","55,547"
32,33,"Tabilo, Alejandro","544,495","523,430","21,065"
33,34,"Norrie, Cameron","535,637","535,637",0
34,35,"Davidovich Fokina, Alejandro","524,809","518,734","6,075"
35,36,"Korda, Sebastian","490,625","471,020","19,605"
36,37,"Cilic, Marin","476,834","476,834",0
37,38,"Nakashima, Brandon","476,560","463,145","13,415"
38,39,"Wawrinka, Stan","469,975","469,975",0
39,40,"van de Zandschulp, Botic","462,262","423,328","38,934"
40,41,"Jodar, Rafael","454,353","433,888","20,465"
41,42,"Michelsen, Alex","448,440","428,800","19,640"
42,43,"Vavassori, Andrea","447,458","20,069","427,389"
43,44,"Machac, Tomas","445,017","416,446","28,571"
44,45,"Halys, Quentin","443,764","420,284","23,480"
45,46,"Marozsan, Fabian","441,998","415,634","26,364"
46,47,"Shapovalov, Denis","422,952","421,977",975
47,48,"Kecmanovic, Miomir","419,304","415,494","3,810"
48,49,"Quinn, Ethan","417,314","413,654","3,660"
49,50,"Moutet, Corentin","403,021","381,649","21,372"
50,51,"Bolelli, Simone","394,104",0,"394,104"
51,52T,"Harrison, Christian","389,195",0,"389,195"
52,52T,"Skupski, Neal","389,195",0,"389,195"
53,54,"Borges, Nuno","377,044","361,654","15,390"
54,55,"Navone, Mariano","374,261","374,261",0
55,56,"Kopriva, Vit","372,630","372,023",607
