,Rank,Name,Total,Singles,Doubles
0,1,"Alcaraz, Carlos","2,771,785","2,771,785",0
1,2,"Djokovic, Novak","1,435,985","1,435,985",0
2,3,"Zverev, Alexander","1,144,375","1,144,375",0
3,4,"de Minaur, Alex","898,425","898,425",0
4,5,"Sinner, Jannik","834,875","834,875",0
5,6,"Hurkacz, Hubert","817,277","817,277",0
6,7,"Fritz, Taylor","637,092","637,092",0
7,8,"Mensik, Jakub","603,052","603,052",0
8,9,"Musetti, Lorenzo","581,555","563,040","18,515"
9,10,"Shelton, Ben","522,080","522,080",0
10,11,"Tien, Learner","513,810","513,810",0
11,12,"Ruud, Casper","502,877","502,877",0
12,13,"Bergs, Zizou","481,778","467,085","14,693"
13,14,"Baez, Sebastian","465,085","450,392","14,693"
14,15,"Bublik, Alexander","441,745","427,052","14,693"
15,16,"Medvedev, Daniil","434,652","434,652",0
16,17,"Tsitsipas, Stefanos","410,287","410,287",0
17,18,"Auger-Aliassime, Felix","409,685","409,685",0
18,19,"Paul, Tommy","366,607","364,852","1,755"
19,20,"Wawrinka, Stan","363,904","363,904",0
20,21,"Darderi, Luciano","359,665","341,747","17,918"
21,22,"Machac, Tomas","355,107","333,134","21,973"
22,23,"Cerundolo, Francisco","354,249","332,877","21,372"
23,24T,"Harrison, Christian","305,585",0,"305,585"
24,24T,"Skupski, Neal","305,585",0,"305,585"
25,26,"Marozsan, Fabian","277,627","262,934","14,693"
26,27,"Etcheverry, Tomas Martin","273,232","238,699","34,533"
27,28,"Rublev, Andrey","265,374","255,424","9,950"
28,29,"Vacherot, Valentin","264,247","247,799","16,448"
29,30,"Davidovich Fokina, Alejandro","263,164","263,164",0
30,31,"Kubler, Jason","262,150","100,185","161,965"
31,32,"van de Zandschulp, Botic","261,912","231,189","30,723"
32,33,"Rinderknech, Arthur","259,878","245,185","14,693"
33,34,"Munar, Jaume","252,804","231,432","21,372"
34,35,"Borges, Nuno","252,344","252,344",0
35,36,"Cobolli, Flavio","251,185","251,185",0
36,37,"Norrie, Cameron","244,074","244,074",0
37,38,"Griekspoor, Tallon","243,193","212,470","30,723"
38,39,"Spizzirri, Eliot","242,254","242,254",0
39,40,"Khachanov, Karen","241,139","231,189","9,950"
40,41,"Moutet, Corentin","240,276","218,904","21,372"
41,42,"Quinn, Ethan","232,264","230,509","1,755"
42,43,"Tiafoe, Frances","231,789","231,789",0
43,44,"Cilic, Marin","231,189","231,189",0
44,45,"Zhang, Zhizhen","216,633","201,940","14,693"
45,46,"Hijikata, Rinky","196,345","180,797","15,548"
46,47,"Polmans, Marc","191,186","28,206","162,980"
47,48,"Shevchenko, Alexander","190,739","176,046","14,693"
48,49T,"Comesana, Francisco","186,670","170,072","16,598"
49,49T,"Muller, Alexandre","186,670","170,072","16,598"
50,51,"Shang, Juncheng","186,125","171,432","14,693"
51,52,"Dzumhur, Damir","182,750","165,297","17,453"
52,53,"Duckworth, James","181,195","165,527","15,668"
53,54,"Sonego, Lorenzo","181,077","162,562","18,515"
54,55,"Halys, Quentin","177,866","177,866",0
55,56,"Opelka, Reilly","175,447","175,447",0
56,57,"Majchrzak, Kamil","173,232","172,257",975
57,58,"Giron, Marcos","173,225","173,225",0
58,59,"Sweeny, Dane","172,710","158,017","14,693"
59,60,"Fucsovics, Marton","170,302","170,302",0
60,61,"Humbert, Ugo","170,040","170,040",0
61,62,"Jodar, Rafael","169,977","169,977",0
62,63,"Thompson, Jordan","168,930","153,372","15,558"
63,64,"Nakashima, Brandon","168,495","166,740","1,755"
64,65,"Gea, Arthur","167,277","167,277",0
65,66,"Nava, Emilio","163,447","161,542","1,905"
66,67T,"Medjedovic, Hamad","162,562","162,562",0
67,67T,"Wu, Yibing","162,562","162,562",0
