,Rank,Name,Total,Singles,Doubles
0,1,"Hurkacz, Hubert","667,000","667,000",0
1,2,"de Minaur, Alex","397,500","397,500",0
2,3,"Bergs, Zizou","366,900","366,900",0
3,4,"Fritz, Taylor","316,500","316,500",0
4,5T,"Auger-Aliassime, Felix","309,500","309,500",0
5,5T,"Zverev, Alexander","309,500","309,500",0
6,7,"Baez, Sebastian","300,115","300,115",0
7,8,"Mensik, Jakub","282,460","282,460",0
8,9,"Tsitsipas, Stefanos","260,010","260,010",0
9,10,"Ruud, Casper","182,285","182,285",0
10,11,"Cobolli, Flavio","151,000","151,000",0
11,12T,"Rinderknech, Arthur","145,000","145,000",0
12,12T,"Wawrinka, Stan","145,000","145,000",0
13,14,"Machac, Tomas","121,510","114,230","7,280"
14,15,"Medvedev, Daniil","114,060","114,060",0
15,16,"Griekspoor, Tallon","112,285","112,285",0
16,17,"Harris, Billy","108,066","108,066",0
17,18,"Bublik, Alexander","106,460","106,460",0
18,19,"Zhang, Zhizhen","99,500","99,500",0
19,20,"Blockx, Alexander","90,033","89,453",580
20,21,"Munar, Jaume","81,155","81,155",0
21,22,"Musetti, Lorenzo","80,630","62,115","18,515"
22,23,"Wong, Coleman","80,183","76,958","3,225"
23,24,"Giron, Marcos","73,040","73,040",0
24,25,"Humbert, Ugo","69,855","69,855",0
25,26,"Nakashima, Brandon","68,310","66,555","1,755"
26,27,"Lajovic, Dusan","62,603","62,603",0
27,28,"Klein, Lukas","59,698","59,698",0
28,29,"Van Assche, Luca","57,853","57,853",0
29,30,"Herbert, Pierre-Hugues","57,713","56,848",865
30,31,"Bailly, Gilles Arnaud","56,963","56,383",580
31,32T,"Boyer, Tristan","56,383","56,383",0
32,32T,"Loffhagen, George","56,383","56,383",0
33,34T,"Coppejans, Kimmer","55,803","55,803",0
34,34T,"McDonald, Mackenzie","55,803","55,803",0
35,34T,"Travaglia, Stefano","55,803","55,803",0
36,34T,"Trungelliti, Marco","55,803","55,803",0
37,34T,"Vallejo, Adolfo Daniel","55,803","55,803",0
38,34T,"Zeppieri, Giulio","55,803","55,803",0
39,40,"Michelsen, Alex","51,170","51,170",0
40,41,"McCabe, James","49,798","49,798",0
41,42,"Rodionov, Jurij","47,693","47,693",0
42,43,"Rublev, Andrey","46,470","36,520","9,950"
43,44,"Kovacevic, Aleksandar","46,395","46,395",0
44,45,"Paul, Tommy","46,015","44,260","1,755"
45,46,"Barrios Vera, Tomas","44,893","44,893",0
46,47,"Mpetshi Perricard, Giovanni","44,890","43,135","1,755"
47,48,"Davidovich Fokina, Alejandro","44,260","44,260",0
48,49,"Marozsan, Fabian","44,030","44,030",0
49,50,"Mochizuki, Shintaro","42,050","42,050",0
50,51T,"Carballes Baena, Roberto","41,988","41,988",0
51,51T,"Rodesch, Chris","41,988","41,988",0
52,53,"Tomic, Bernard","41,478","41,188",290
53,54T,"Cassone, Murphy","40,348","40,348",0
54,54T,"Hassan, Benjamin","40,348","40,348",0
55,54T,"Holt, Brandon","40,348","40,348",0
56,54T,"Mejia, Nicolas","40,348","40,348",0
57,54T,"Moller, Elmer","40,348","40,348",0
58,54T,"Nishioka, Yoshihito","40,348","40,348",0
59,54T,"Ofner, Sebastian","40,348","40,348",0
60,54T,"Rocha, Henrique","40,348","40,348",0
61,54T,"Smith, Colton","40,348","40,348",0
