,Rank,Name,Total,Singles,Doubles
0,1,"Sinner, Jannik","2,150,400","2,150,400",0
1,2,"Zverev, Alexander","1,502,160","1,502,160",0
2,3,"Fritz, Taylor","1,082,741","1,082,741",0
3,4,"de Minaur, Alex","987,859","987,859",0
4,5,"Alcaraz, Carlos","873,411","873,411",0
5,6,"Shelton, Ben","734,060","728,140","5,920"
6,7,"Ruud, Casper","716,195","716,195",0
7,8,"Djokovic, Novak","696,015","694,525","1,490"
8,9,"Shapovalov, Denis","658,275","658,275",0
9,10,"Hurkacz, Hubert","653,788","648,459","5,329"
10,11,"Paul, Tommy","592,061","592,061",0
11,12,"Machac, Tomas","490,931","465,741","25,190"
12,13,"Auger-Aliassime, Felix","466,297","466,297",0
13,14,"Sonego, Lorenzo","453,679","451,829","1,850"
14,15,"Humbert, Ugo","415,848","415,848",0
15,16,"Lehecka, Jiri","400,633","391,378","9,255"
16,17,"Monfils, Gael","372,458","372,458",0
17,18,"Michelsen, Alex","323,353","311,083","12,270"
18,19,"Davidovich Fokina, Alejandro","320,778","317,643","3,135"
19,20,"Tsitsipas, Stefanos","320,592","320,592",0
20,21,"Carreno Busta, Pablo","315,156","299,459","15,697"
21,22,"Rune, Holger","300,973","300,973",0
22,23,"Cobolli, Flavio","299,722","284,550","15,172"
23,24,"Shevchenko, Alexander","297,963","285,675","12,288"
24,25,"Munar, Jaume","291,625","264,585","27,040"
25,26,"Borges, Nuno","269,213","225,591","43,622"
26,27,"Tien, Learner","268,478","265,343","3,135"
27,28,"Mensik, Jakub","268,345","253,761","14,584"
28,29,"Vavassori, Andrea","265,632","36,345","229,287"
29,30,"Kecmanovic, Miomir","259,404","247,116","12,288"
30,31,"Draper, Jack","258,048","258,048",0
31,32T,"Heliovaara, Harri","255,207",0,"255,207"
32,32T,"Patten, Henry","255,207",0,"255,207"
33,34,"Opelka, Reilly","255,075","255,075",0
34,35,"Etcheverry, Tomas Martin","249,503","237,215","12,288"
35,36,"Carballes Baena, Roberto","241,689","227,551","14,138"
36,37,"Zhang, Zhizhen","240,699","210,179","30,520"
37,38,"Martinez, Pedro","239,091","210,201","28,890"
38,39,"Fils, Arthur","238,211","235,076","3,135"
39,40,"Vukic, Aleksandar","237,258","217,951","19,307"
40,41,"Marozsan, Fabian","235,076","235,076",0
41,42,"Bolelli, Simone","229,287",0,"229,287"
42,43,"Nishioka, Yoshihito","216,745","216,745",0
43,44,"Bonzi, Benjamin","212,847","212,847",0
44,45,"Giron, Marcos","211,019","198,731","12,288"
45,46,"Nishikori, Kei","204,755","204,755",0
46,47,"Rublev, Andrey","203,402","193,737","9,665"
47,48,"Cerundolo, Francisco","202,399","190,111","12,288"
48,49,"Muller, Alexandre","200,778","186,640","14,138"
49,50,"Musetti, Lorenzo","200,581","198,731","1,850"
50,51,"Khachanov, Karen","199,776","190,111","9,665"
51,52,"Altmaier, Daniel","193,865","193,865",0
52,53,"Fearnley, Jacob","189,146","188,131","1,015"
53,54,"Korda, Sebastian","183,130","183,130",0
54,55,"Bellucci, Mattia","178,715","178,715",0
55,56,"Moutet, Corentin","178,176","178,176",0
56,57,"Hijikata, Rinky","175,993","150,285","25,708"
57,58,"Griekspoor, Tallon","175,746","136,342","39,404"
58,59,"Tiafoe, Frances","174,200","174,200",0
59,60,"Arnaldi, Matteo","173,590","167,670","5,920"
60,61,"Schoolkate, Tristan","167,547","148,900","18,647"
61,62,"Cazaux, Arthur","167,183","152,366","14,817"
