,Rank,Name,Total,Singles,Doubles
0,1,"Alcaraz, Carlos","9,507,272","9,507,272",0
1,2,"Sinner, Jannik","8,443,408","8,437,163","6,245"
2,3,"Zverev, Alexander","3,892,873","3,859,712","33,161"
3,4,"Shelton, Ben","3,691,257","3,586,088","105,169"
4,5,"Fritz, Taylor","3,561,702","3,542,510","19,192"
5,6,"Djokovic, Novak","3,413,063","3,400,133","12,930"
6,7,"Draper, Jack","3,292,994","3,267,704","25,290"
7,8,"de Minaur, Alex","3,055,667","3,014,798","40,869"
8,9,"Ruud, Casper","2,677,389","2,667,864","9,525"
9,10,"Musetti, Lorenzo","2,663,702","2,615,098","48,604"
10,11,"Khachanov, Karen","2,372,928","2,311,413","61,515"
11,12,"Rune, Holger","2,343,739","2,337,494","6,245"
12,13,"Mensik, Jakub","2,306,903","2,250,177","56,726"
13,14,"Rublev, Andrey","2,302,901","2,253,130","49,771"
14,15,"Cobolli, Flavio","2,201,624","2,115,082","86,542"
15,16,"Davidovich Fokina, Alejandro","1,999,948","1,967,849","32,099"
16,17,"Paul, Tommy","1,985,471","1,968,071","17,400"
17,18,"Bublik, Alexander","1,885,889","1,856,365","29,524"
18,19,"Cerundolo, Francisco","1,839,895","1,785,113","54,782"
19,20,"Tsitsipas, Stefanos","1,829,780","1,805,437","24,343"
20,21,"Medvedev, Daniil","1,774,070","1,767,825","6,245"
21,22,"Machac, Tomas","1,696,100","1,595,587","100,513"
22,23,"Auger-Aliassime, Felix","1,684,300","1,660,171","24,129"
23,24,"Lehecka, Jiri","1,676,343","1,605,871","70,472"
24,25,"Shapovalov, Denis","1,541,204","1,517,075","24,129"
25,26,"Tiafoe, Frances","1,517,853","1,477,684","40,169"
26,27,"Griekspoor, Tallon","1,427,165","1,357,695","69,470"
27,28,"Fils, Arthur","1,422,570","1,392,485","30,085"
28,29,"Norrie, Cameron","1,418,147","1,392,168","25,979"
29,30,"Nakashima, Brandon","1,367,781","1,328,101","39,680"
30,31,"Popyrin, Alexei","1,364,035","1,231,761","132,274"
31,32,"Dimitrov, Grigor","1,342,888","1,333,363","9,525"
32,33,"Sonego, Lorenzo","1,296,355","1,224,075","72,280"
33,34,"Cash, Julian","1,276,108",0,"1,276,108"
34,35,"Borges, Nuno","1,275,910","1,129,630","146,280"
35,36,"Glasspool, Lloyd","1,265,272",0,"1,265,272"
36,37,"Michelsen, Alex","1,218,310","1,132,861","85,449"
37,38,"Baez, Sebastian","1,182,437","1,117,498","64,939"
38,39,"Darderi, Luciano","1,179,636","1,109,548","70,088"
39,40,"Munar, Jaume","1,168,803","1,044,184","124,619"
40,41,"Humbert, Ugo","1,168,352","1,156,634","11,718"
41,42T,"Arevalo, Marcelo","1,165,233",0,"1,165,233"
42,42T,"Pavic, Mate","1,165,233",0,"1,165,233"
43,44,"Hurkacz, Hubert","1,153,504","1,148,175","5,329"
44,45,"Muller, Alexandre","1,147,962","1,083,460","64,502"
45,46,"Etcheverry, Tomas Martin","1,082,037","1,016,842","65,195"
46,47,"Marozsan, Fabian","1,079,280","1,045,824","33,456"
47,48,"Martinez, Pedro","1,063,253","894,822","168,431"
48,49,"Diallo, Gabriel","1,049,917","1,009,408","40,509"
49,50,"Kecmanovic, Miomir","1,038,700","998,480","40,220"
50,51,"Thompson, Jordan","1,011,939","777,914","234,025"
51,52,"Monfils, Gael","1,009,858","1,004,718","5,140"
52,53,"Korda, Sebastian","1,000,250","811,103","189,147"
53,54,"Moutet, Corentin","999,496","999,496",0
54,55,"Altmaier, Daniel","996,310","996,310",0
55,56,"Arnaldi, Matteo","975,047","939,541","35,506"
56,57,"Giron, Marcos","974,320","931,885","42,435"
57,58,"Tien, Learner","950,107","903,640","46,467"
58,59,"Fonseca, Joao","939,097","932,852","6,245"
59,60,"Berrettini, Matteo","920,036","876,700","43,336"
60,61,"Halys, Quentin","914,322","879,487","34,835"
61,62,"Opelka, Reilly","904,699","898,454","6,245"
62,63,"Hijikata, Rinky","875,820","591,012","284,808"
63,64,"Fearnley, Jacob","857,916","816,423","41,493"
64,65,"Rinderknech, Arthur","853,037","802,481","50,556"
65,66,"Bergs, Zizou","840,504","811,836","28,668"
66,67,"Ugo Carabelli, Camilo","838,772","799,833","38,939"
67,68,"Bautista Agut, Roberto","836,711","836,711",0
68,69,"Mpetshi Perricard, Giovanni","829,202","756,353","72,849"
69,70,"Navone, Mariano","823,238","779,287","43,951"
70,71,"Zeballos, Horacio","806,774",0,"806,774"
71,72,"Dzumhur, Damir","803,475","770,291","33,184"
72,73,"Vukic, Aleksandar","791,979","756,452","35,527"
73,74,"Granollers, Marcel","776,034",0,"776,034"
74,75,"Jarry, Nicolas","771,096","755,673","15,423"
75,76,"Shevchenko, Alexander","753,880","737,860","16,020"
76,77,"Struff, Jan-Lennard","749,114","708,242","40,872"
77,78T,"Heliovaara, Harri","744,961",0,"744,961"
78,78T,"Patten, Henry","744,961",0,"744,961"
79,80,"Comesana, Francisco","731,663","688,600","43,063"
80,81,"Bellucci, Mattia","730,273","677,458","52,815"
81,82,"Brooksby, Jenson","726,147","703,038","23,109"
82,83,"Bonzi, Benjamin","694,851","663,305","31,546"
83,84,"Bu, Yunchaokete","689,796","654,399","35,397"
84,85,"Skupski, Neal","678,524",0,"678,524"
85,86,"Walton, Adam","662,389","616,930","45,459"
86,87,"Kovacevic, Aleksandar","659,874","646,823","13,051"
87,88,"Salisbury, Joe","658,669",0,"658,669"
88,89,"Majchrzak, Kamil","653,467","649,521","3,946"
89,90,"Quinn, Ethan","647,778","639,503","8,275"
90,91,"Vavassori, Andrea","643,297","66,850","576,447"
91,92,"O'Connell, Christopher","630,134","617,016","13,118"
92,93,"Cilic, Marin","624,962","624,962",0
93,94,"van de Zandschulp, Botic","621,634","570,802","50,832"
94,95,"Carreno Busta, Pablo","614,608","599,185","15,423"
95,96,"Gaston, Hugo","604,877","600,826","4,051"
96,97,"Carballes Baena, Roberto","602,326","571,732","30,594"
97,98,"Djere, Laslo","587,808","576,492","11,316"
98,99,"de Jong, Jesper","572,430","552,346","20,084"
99,100,"Bolelli, Simone","571,619",0,"571,619"
100,101,"Safiullin, Roman","570,536","548,306","22,230"
101,102,"Goffin, David","569,269","545,665","23,604"
102,103,"Medjedovic, Hamad","569,139","569,139",0
103,104,"Ofner, Sebastian","566,289","561,921","4,368"
104,105,"Tabilo, Alejandro","562,684","510,174","52,510"
105,106,"Harrison, Christian","549,302",0,"549,302"
106,107,"Fucsovics, Marton","543,933","543,933",0
107,108,"Duckworth, James","539,056","500,020","39,036"
108,109,"Cazaux, Arthur","536,762","506,321","30,441"
109,110,"King, Evan","534,547",0,"534,547"
110,111,"Nardi, Luca","529,369","529,369",0
111,112,"Nishioka, Yoshihito","517,783","517,783",0
112,113,"Lajovic, Dusan","515,314","512,279","3,035"
113,114T,"Krawietz, Kevin","505,874",0,"505,874"
114,114T,"Puetz, Tim","505,874",0,"505,874"
115,116,"Mannarino, Adrian","505,370","494,848","10,522"
116,117,"Schoolkate, Tristan","486,024","451,250","34,774"
117,118,"Kopriva, Vit","485,998","472,448","13,550"
118,119,"McDonald, Mackenzie","485,577","455,706","29,871"
119,120,"Gigante, Matteo","440,652","440,652",0
120,121,"Basilashvili, Nikoloz","438,452","438,452",0
121,122,"Harris, Billy","433,078","412,996","20,082"
122,123,"Garin, Cristian","432,865","432,388",477
123,124,"Faria, Jaime","431,187","427,695","3,492"
124,125,"Misolic, Filip","418,723","417,432","1,291"
125,126,"Tseng, Chun-Hsin","412,958","412,958",0
126,127,"Cerundolo, Juan Manuel","411,821","410,956",865
127,128,"Royer, Valentin","408,988","398,541","10,447"
128,129,"Doumbia, Sadio","400,929",0,"400,929"
129,130,"Dellien, Hugo","400,174","399,669",505
130,131,"Herbert, Pierre-Hugues","397,898","327,774","70,124"
131,132,"Hanfmann, Yannick","396,189","393,859","2,330"
132,133,"Reboul, Fabien","395,817",0,"395,817"
133,134,"Passaro, Francesco","384,831","381,552","3,279"
134,135,"Nava, Emilio","380,894","379,374","1,520"
135,136,"Nys, Hugo","378,085",0,"378,085"
136,137,"Evans, Daniel","376,313","364,997","11,316"
137,138,"Basavareddy, Nishesh","358,543","358,253",290
138,139,"Molteni, Andres","351,205",0,"351,205"
139,140,"Bhambri, Yuki","347,949",0,"347,949"
140,141,"Wawrinka, Stan","346,934","343,342","3,592"
141,142,"Roger-Vasselin, Edouard","344,877",0,"344,877"
142,143,"Boyer, Tristan","343,041","336,761","6,280"
143,144,"Coric, Borna","342,115","342,115",0
144,145,"Zhang, Zhizhen","335,959","305,439","30,520"
145,146,"Seyboth Wild, Thiago","332,898","332,898",0
146,147,"Goransson, Andre","330,123",0,"330,123"
147,148,"Moller, Elmer","329,470","328,715",755
148,149,"Holt, Brandon","328,975","326,772","2,203"
149,150,"Arends, Sander","324,295",0,"324,295"
150,151,"Nishikori, Kei","323,778","323,778",0
151,152,"Monteiro, Thiago","323,764","323,764",0
152,153,"Mektic, Nikola","319,989",0,"319,989"
153,154,"Mochizuki, Shintaro","319,177","313,883","5,294"
154,155,"Holmgren, August","318,491","315,194","3,297"
155,156,"Venus, Michael","315,013",0,"315,013"
156,157,"Rocha, Henrique","312,507","309,859","2,648"
157,158,"Atmane, Terence","310,915","310,376",539
158,159,"Klein, Lukas","304,539","304,045",494
159,160,"McCabe, James","303,650","303,650",0
160,161,"Gonzalez, Maximo","302,728",0,"302,728"
161,162,"Verbeek, Sem","300,877",0,"300,877"
162,163,"Guinard, Manuel","298,389","23,041","275,348"
163,164,"Barrios Vera, Tomas","297,461","287,263","10,198"
164,165,"Habib, Hady","297,076","294,121","2,955"
165,166,"Tirante, Thiago Agustin","296,089","291,043","5,046"
166,167,"Pel, David","291,473",0,"291,473"
167,168,"Tu, Li","290,327","262,872","27,455"
168,169,"Eubanks, Christopher","289,889","288,711","1,178"
169,170,"Watanuki, Yosuke","289,372","287,179","2,193"
170,171,"Krueger, Mitchell","286,819","276,880","9,939"
171,172,"Zielinski, Jan","286,312",0,"286,312"
172,173,"Galan, Daniel Elahi","284,596","282,861","1,735"
173,174,"Virtanen, Otto","283,466","281,713","1,753"
174,175,"Zeppieri, Giulio","281,213","281,213",0
175,176,"Taberner, Carlos","274,228","272,331","1,897"
176,177,"Svrcina, Dalibor","270,117","264,107","6,010"
177,178,"Johnson, Luke","269,470",0,"269,470"
178,179,"Gomez, Federico Agustin","268,202","251,917","16,285"
179,180,"Landaluce, Martin","264,711","264,113",598
180,181,"Melo, Marcelo","262,244",0,"262,244"
181,182,"Harris, Lloyd","261,995","261,995",0
182,183,"Arneodo, Romain","260,772",0,"260,772"
183,184,"Matos, Rafael","259,963",0,"259,963"
184,185,"Romboli, Fernando","259,543",0,"259,543"
185,186,"Spizzirri, Eliot","258,835","245,126","13,709"
186,187,"Ficovich, Juan Pablo","256,865","252,166","4,699"
187,188,"Collignon, Raphael","256,242","252,078","4,164"
188,189,"Peers, John","255,275",0,"255,275"
189,190,"Wong, Coleman","255,087","241,100","13,987"
190,191,"Daniel, Taro","252,877","252,877",0
191,192,"Gille, Sander","248,123",0,"248,123"
