,Rank,diff,pct,women,men
0,1,3370789,72.06153907870578,"SABALENKA, ARYNA","Sinner, Jannik"
1,2,1520714,83.17125379589476,"SWIATEK, IGA","Alcaraz, Carlos"
2,3,1437571,77.7753711948097,"PAOLINI, JASMINE","Zverev, Alexander"
3,4,293061,93.94740668348098,"GAUFF, COCO","Medvedev, Daniil"
4,5,792998,83.14427095068253,"PEGULA, JESSICA","Fritz, Taylor"
5,6,715740,83.81380012958186,"KREJCIKOVA, BARBORA","Djokovic, Novak"
6,7,669219,82.6678120987254,"RYBAKINA, ELENA","Ruud, Casper"
7,8,599129,83.8582972041801,"ZHENG, QINWEN","Rublev, Andrey"
8,9,812682,77.20163269886244,"NAVARRO, EMMA","de Minaur, Alex"
9,10,667593,80.02394996718998,"MERTENS, ELISE","Tsitsipas, Stefanos"
10,11,604522,79.55976480214775,"COLLINS, DANIELLE","Dimitrov, Grigor"
11,12,537963,80.790095577633,"OSTAPENKO, JELENA","Paul, Tommy"
12,13,741862,72.56561440048046,"HADDAD MAIA, BEATRIZ","Hurkacz, Hubert"
13,14,735751,72.65175236701874,"BADOSA, PAULA","Musetti, Lorenzo"
14,15,718943,73.0946991980911,"DOLEHIDE, CAROLINE","Tiafoe, Frances"
15,16,772980,70.92524434898884,"VEKIC, DONNA","Draper, Jack"
16,17,638030,74.69754478581766,"SINIAKOVA, KATERINA","Thompson, Jordan"
17,18,543166,77.4704332774898,"KALINSKAYA, ANNA","Rune, Holger"
18,19,512004,78.20339479473888,"ANDREEVA, MIRRA","Shelton, Ben"
19,20,445842,80.40521089662987,"SAKKARI, MARIA","Humbert, Ugo"
20,21,455439,79.76164872003612,"KOSTYUK, MARTA","Popyrin, Alexei"
21,22,459566,78.96998379159524,"MUCHOVA, KAROLINA","Korda, Sebastian"
22,23,637975,70.52948760411513,"KASATKINA, DARIA","Fils, Arthur"
23,24,540217,73.84760244959215,"HSIEH, SU-WEI","Khachanov, Karen"
24,25,486506,75.35684020336308,"SHNAIDER, DIANA","Machac, Tomas"
25,26,286643,83.69556808951644,"YASTREMSKA, DAYANA","Auger-Aliassime, Felix"
26,27,281527,83.88283861541959,"KEYS, MADISON","Jarry, Nicolas"
27,28,257351,85.05076967760674,"SAMSONOVA, LIUDMILA","Baez, Sebastian"
28,29,252923,85.03910831966431,"SVITOLINA, ELINA","Tabilo, Alejandro"
29,30,258421,84.53727178024127,"AZARENKA, VICTORIA","Griekspoor, Tallon"
30,31,268181,83.92061424967143,"PUTINTSEVA, YULIA","Bublik, Alexander"
31,32,267190,83.76814305952794,"ALEXANDROVA, EKATERINA","Cerundolo, Francisco"
32,33,275564,83.11996741164543,"NOSKOVA, LINDA","Zhang, Zhizhen"
33,34,266065,83.53750706136472,"GARCIA, CAROLINE","Cobolli, Flavio"
34,35,291527,81.71648437108023,"ERRANI, SARA","Arnaldi, Matteo"
35,36,251964,83.78272961497146,"FERNANDEZ, LEYLAH","Purcell, Max"
36,37,209803,86.00602439372534,"POTAPOVA, ANASTASIA","Etcheverry, Tomas Martin"
37,38,136562,90.38265297139698,"PAVLYUCHENKOVA, ANASTASIA","Lehecka, Jiri"
38,39,141094,90.01537033158023,"WANG, XINYU","Borges, Nuno"
39,40,122848,91.10580821536965,"KRAWCZYK, DESIRAE","Mpetshi Perricard, Giovanni"
40,41,152996,88.88634648338102,"TOWNSEND, TAYLOR","Nakashima, Brandon"
41,42,173666,87.151279833622,"VONDROUSOVA, MARKETA","Struff, Jan-Lennard"
42,43,136492,89.54111540388986,"KENIN, SOFIA","Monfils, Gael"
43,44,154142,88.17613903096839,"KUDERMETOVA, VERONIKA","Mannarino, Adrian"
44,45,154482,88.01800998227701,"BOULTER, KATIE","Kecmanovic, Miomir"
45,46,156232,87.78700903982714,"BUCSA, CRISTINA","Marozsan, Fabian"
46,47,136523,89.10076066268985,"FRECH, MAGDALENA","Michelsen, Alex"
47,48,150218,87.48961062539455,"JABEUR, ONS","Norrie, Cameron"
48,49,179894,85.01173106532737,"SIEGEMUND, LAURA","Davidovich Fokina, Alejandro"
49,50,162959,86.15357425378303,"ANISIMOVA, AMANDA","Sonego, Lorenzo"
50,51,137266,87.785483816429,"WANG, YAFAN","Mensik, Jakub"
51,52,108723,90.01590505453817,"STEARNS, PEYTON","Safiullin, Roman"
52,53,108315,89.89431080907092,"AVANESYAN, ELINA","Giron, Marcos"
53,54,117974,88.96876349987937,"SORRIBES TORMO, SARA","Darderi, Luciano"
54,55,100781,90.40245850042521,"KRUEGER, ASHLYN","Shang, Juncheng"
55,56,99872,90.43773738820553,"LINETTE, MAGDA","Shapovalov, Denis"
56,57,87565,91.45792321154383,"BOUZKOVA, MARIE","Granollers, Marcel"
57,58,121656,88.13230293180581,"KALININA, ANHELINA","Zeballos, Horacio"
58,59,123066,87.97952340440494,"YUAN, YUE","Martinez, Pedro"
59,60,130063,87.29528453569175,"WOZNIACKI, CAROLINE","Vavassori, Andrea"
60,61,125437,87.67401389261474,"STEPHENS, SLOANE","Navone, Mariano"
61,62,140401,86.20083344799797,"COCCIARETTO, ELISABETTA","Carballes Baena, Roberto"
62,63,144108,85.78843197218198,"OSAKA, NAOMI","Bautista Agut, Roberto"
63,64,162677,83.95190217069619,"RUS, ARANTXA","Arevalo, Marcelo"
64,65,178576,82.38346466946307,"GRACHEVA, VARVARA","Pavic, Mate"
65,66,138010,85.79350398422164,"PARRY, DIANE","Goffin, David"
66,67,158442,83.65743343252484,"SUN, LULU","van de Zandschulp, Botic"
67,68,164084,82.90232430190709,"ZHANG, SHUAI","Shevchenko, Alexander"
68,69,154596,83.6998845466479,"TAUSON, CLARA","Ofner, Sebastian"
69,70,153792,83.74911899370325,"TOMOVA, VIKTORIYA","Rinderknech, Arthur"
70,71,156413,83.46638055875607,"KICHENOK, LYUDMYLA","Munar, Jaume"
71,72,157346,83.35644556144732,"BLINKOVA, ANNA","Muller, Alexandre"
72,73,149766,84.00134171406107,"BUREL, CLARA","Seyboth Wild, Thiago"
73,74,162636,82.3500876331454,"MARIA, TATJANA","Hijikata, Rinky"
74,75,162066,82.27921181167193,"PLISKOVA, KAROLINA","Kotov, Pavel"
75,76,136006,84.52257669521518,"MINNEN, GREET","Berrettini, Matteo"
76,77,138615,84.21029249944753,"ROUTLIFFE, ERIN","O'Connell, Christopher"
77,78,135689,84.4847064204448,"CIRSTEA, SORANA","Vukic, Aleksandar"
78,79,129824,84.88207168159936,"BRONZETTI, LUCIA","Mektic, Nikola"
79,80,141859,83.46660606166559,"PERA, BERNARDA","Lajovic, Dusan"
80,81,142858,83.26399928772008,"WANG, XIYU","Koolhof, Wesley"
81,82,167726,80.2628621591694,"PODOROSKA, NADIA","Coric, Borna"
82,83,167827,80.19880598423711,"TOMLJANOVIC, AJLA","Kokkinakis, Thanasi"
83,84,163653,80.56017504430748,"VOLYNETS, KATIE","Nishioka, Yoshihito"
84,85,158593,80.88464834517147,"RADUCANU, EMMA","Koepfer, Dominik"
85,86,157411,80.92237622226423,"TSURENKO, LESIA","Bolelli, Simone"
86,87,156304,80.8029397893413,"DART, HARRIET","Hanfmann, Yannick"
87,88,151159,81.29336055937134,"CRISTIAN, JAQUELINE","Altmaier, Daniel"
88,89,144581,81.91446645042899,"OSORIO, CAMILA","Cazaux, Arthur"
89,90,166278,79.18897608230391,"KERBER, ANGELIQUE","Eubanks, Christopher"
90,91,113605,84.7339989518524,"TREVISAN, MARTINA","Bopanna, Rohan"
91,92,117902,84.10902185208298,"BOGDAN, ANA","Daniel, Taro"
92,93,132863,82.0370202623136,"BOUZAS MANEIRO, JESSICA","Ebden, Matthew"
93,94,128055,82.52321844100366,"PARKS, ALYCIA","Evans, Daniel"
94,95,128093,82.44226259092896,"STARODUBTSEVA, YULIIA","Heliovaara, Harri"
95,96,130129,82.03600832702917,"HUNTER, STORM","Ruusuvuori, Emil"
96,97,123873,82.73335266206865,"SAVILLE, DARIA","Patten, Henry"
97,98,130913,81.71424820058972,"MARTIC, PETRA","Bergs, Zizou"
98,99,129745,81.83560554514884,"RAKHIMOVA, KAMILLA","Kovacevic, Aleksandar"
99,100,123194,82.52956433815449,"KORPATSCH, TAMARA","Diaz Acosta, Facundo"
100,101,115713,83.17809589297993,"ANDREEVA, ERIKA","McDonald, Mackenzie"
101,102,112835,83.16998265315712,"SHERIF, MAYAR","Krawietz, Kevin"
102,103,107198,83.87437421777221,"DABROWSKI, GABRIELA","Fucsovics, Marton"
103,104,108631,83.61560447350361,"UCHIJIMA, MOYUKA","Gaston, Hugo"
104,105,112642,82.92927991755764,"ZHU, LIN","Nagal, Sumit"
105,106,117171,82.23877180722782,"DODIN, OCEANE","Puetz, Tim"
106,107,104822,83.74053604639799,"GOLUBIC, VIKTORIJA","Fognini, Fabio"
107,108,106125,83.44050518747143,"NIEMEIER, JULE","Wawrinka, Stan"
108,109,103420,83.62674941422328,"SCHMIEDLOVA, ANNA KAROLINA","Moutet, Corentin"
109,110,102020,83.68429217303415,"HIBINO, NAO","Walton, Adam"
110,111,95912,84.46082235547051,"BAPTISTE, HAILEY","Van Assche, Luca"
111,112,102945,83.11322317709914,"DANILOVIC, OLGA","Coria, Federico"
112,113,84826,85.60069801628931,"RUSE, ELENA-GABRIELA","Djere, Laslo"
113,114,101567,82.66141560228479,"MATTEK-SANDS, BETHANIE","Halys, Quentin"
114,115,102502,82.32516915776333,"ZARAZUA, RENATA","Monteiro, Thiago"
115,116,93752,83.5832133839047,"KESSLER, MCCARTNEY","Venus, Michael"
116,117,94449,83.3501390881879,"MLADENOVIC, KRISTINA","Marterer, Maximilian"
117,118,108801,80.78861312012657,"ANDREESCU, BIANCA","Galan, Daniel Elahi"
118,119,102201,81.7093206385568,"TIMOFEEVA, MARIA","Nardi, Luca"
119,120,101122,81.65058039416357,"SRAMKOVA, REBECCA","Comesana, Francisco"
120,121,95831,81.9759820194288,"GADECKI, OLIVIA","Duckworth, James"
121,122,97051,81.64745705019713,"SASNOVICH, ALIAKSANDRA","Molteni, Andres"
122,123,93235,82.20672150231874,"MASAROVA, REBEKA","Skupski, Neal"
123,124,88932,82.84027322193494,"CHAN, HAO-CHING","Nishikori, Kei"
124,125,82550,83.64037764865357,"BONDAR, ANNA","Lestienne, Constant"
125,126,80806,83.92041994834221,"FRUHVIRTOVA, BRENDA","Lammons, Nathaniel"
126,127,81098,83.86231488962028,"MUHAMMAD, ASIA","Withrow, Jackson"
127,128,83205,83.42437426788744,"PEREZ, ELLEN","Bu, Yunchaokete"
128,129,81078,83.5899740120953,"CARLE, MARIA LOURDES","Diallo, Gabriel"
129,130,82227,83.28671954079994,"BEGU, IRINA-CAMELIA","Gonzalez, Maximo"
130,131,79703,83.68700699569779,"PAQUET, CHLOE","Gasquet, Richard"
131,132,75701,84.19022438307185,"PONCHET, JESSIKA","Bellucci, Mattia"
132,133,106614,77.70439830692789,"MELICHAR-MARTINEZ, NICOLE","Virtanen, Otto"
133,134,109456,76.59030684372507,"BEKTAS, EMINA","Kwon, Soonwoo"
134,135,108172,76.77107357444415,"BIRRELL, KIMBERLY","Cachin, Pedro"
135,136,107966,76.78415148380937,"WATSON, HEATHER","Carreno Busta, Pablo"
