,Rank,Name,Total,Singles,Doubles
0,1,"Sinner, Jannik","19,735,703","19,703,589","32,114"
1,2,"Zverev, Alexander","11,501,623","11,345,926","155,697"
2,3,"Alcaraz, Carlos","10,358,429","10,358,429",0
3,4,"Fritz, Taylor","8,250,064","8,159,455","90,609"
4,5,"Medvedev, Daniil","6,519,660","6,476,914","42,746"
5,6,"Ruud, Casper","5,744,515","5,689,559","54,956"
6,7,"Rublev, Andrey","5,589,848","5,526,785","63,063"
7,8,"Djokovic, Novak","4,421,915","4,421,915",0
8,9,"de Minaur, Alex","4,352,277","4,313,949","38,328"
9,10,"Tsitsipas, Stefanos","4,293,441","4,157,620","135,821"
10,11,"Dimitrov, Grigor","3,759,106","3,742,155","16,951"
11,12,"Rune, Holger","3,337,970","3,304,057","33,913"
12,13,"Paul, Tommy","3,314,442","3,285,610","28,832"
13,14,"Humbert, Ugo","3,236,130","3,186,488","49,642"
14,15,"Fils, Arthur","3,060,708","2,975,866","84,842"
15,16,"Draper, Jack","3,060,572","3,023,254","37,318"
16,17,"Tiafoe, Frances","3,059,481","3,030,064","29,417"
17,18,"Hurkacz, Hubert","2,992,731","2,964,631","28,100"
18,19,"Thompson, Jordan","2,893,246","1,683,840","1,209,406"
19,20,"Khachanov, Karen","2,890,107","2,783,985","106,122"
20,21,"Popyrin, Alexei","2,738,612","2,703,608","35,004"
21,22,"Musetti, Lorenzo","2,715,979","2,646,694","69,285"
22,23,"Shelton, Ben","2,656,975","2,476,026","180,949"
23,24,"Korda, Sebastian","2,345,781","2,062,602","283,179"
24,25,"Machac, Tomas","2,249,386","2,031,843","217,543"
25,26,"Jarry, Nicolas","2,166,036","2,081,237","84,799"
26,27,"Auger-Aliassime, Felix","2,092,986","2,065,218","27,768"
27,28,"Tabilo, Alejandro","2,041,732","1,921,786","119,946"
28,29,"Cerundolo, Francisco","1,992,987","1,860,760","132,227"
29,30,"Arnaldi, Matteo","1,879,948","1,859,134","20,814"
30,31,"Purcell, Max","1,763,725","773,141","990,584"
31,32,"Griekspoor, Tallon","1,763,220","1,570,029","193,191"
32,33,"Baez, Sebastian","1,760,418","1,683,092","77,326"
33,34,"Lehecka, Jiri","1,717,089","1,689,426","27,663"
34,35,"Bublik, Alexander","1,714,205","1,527,508","186,697"
35,36,"Zhang, Zhizhen","1,669,281","1,448,941","220,340"
36,37,"Cobolli, Flavio","1,616,189","1,544,117","72,072"
37,38,"Michelsen, Alex","1,591,667","1,452,308","139,359"
38,39,"Etcheverry, Tomas Martin","1,584,681","1,452,743","131,938"
39,40,"Monfils, Gael","1,520,087","1,520,087",0
40,41,"Marozsan, Fabian","1,486,514","1,435,031","51,483"
41,42,"Borges, Nuno","1,453,053","1,375,761","77,292"
42,43,"Mpetshi Perricard, Giovanni","1,443,482","1,397,441","46,041"
43,44,"Nakashima, Brandon","1,419,129","1,391,107","28,022"
44,45,"Mannarino, Adrian","1,415,012","1,308,732","106,280"
45,46,"Struff, Jan-Lennard","1,408,984","1,309,920","99,064"
46,47,"Kecmanovic, Miomir","1,354,634","1,306,225","48,409"
47,48,"Mensik, Jakub","1,286,947","1,286,947",0
48,49T,"Arevalo, Marcelo","1,280,727",0,"1,280,727"
49,49T,"Pavic, Mate","1,280,727",0,"1,280,727"
50,51,"Norrie, Cameron","1,271,422","1,263,998","7,424"
51,52,"Davidovich Fokina, Alejandro","1,239,151","1,217,056","22,095"
52,53,"Shang, Juncheng","1,234,459","1,233,923",536
53,54,"Sonego, Lorenzo","1,228,897","1,169,347","59,550"
54,55,"Shapovalov, Denis","1,168,029","1,138,879","29,150"
55,56,"Vavassori, Andrea","1,159,343","199,530","959,813"
56,57,"Giron, Marcos","1,157,536","1,111,370","46,166"
57,58,"Mektic, Nikola","1,141,950",0,"1,141,950"
58,59,"Koolhof, Wesley","1,136,805","2,180","1,134,625"
59,60,"Safiullin, Roman","1,136,261","1,049,432","86,829"
60,61,"Bautista Agut, Roberto","1,135,555","1,131,745","3,810"
61,62,"Darderi, Luciano","1,116,217","1,027,095","89,122"
62,63T,"Granollers, Marcel","1,106,295",0,"1,106,295"
63,63T,"Zeballos, Horacio","1,106,295",0,"1,106,295"
64,65,"Krawietz, Kevin","1,103,850",0,"1,103,850"
65,66,"Puetz, Tim","1,095,320","2,208","1,093,112"
66,67,"Navone, Mariano","1,067,355","1,005,889","61,466"
67,68,"Martinez, Pedro","1,066,017","960,850","105,167"
68,69,"Carballes Baena, Roberto","1,052,652","981,230","71,422"
69,70,"Rinderknech, Arthur","1,046,034","1,002,430","43,604"
70,71,"Shevchenko, Alexander","1,009,443","963,622","45,821"
71,72,"Heliovaara, Harri","987,175",0,"987,175"
72,73,"van de Zandschulp, Botic","984,484","905,495","78,989"
73,74,"Goffin, David","978,344","973,915","4,429"
