,Rank,diff,pct,women,men
0,1,10006443,49.297762537265584,"SABALENKA, ARYNA","Sinner, Jannik"
1,2,2147776,81.32632238076313,"GAUFF, COCO","Zverev, Alexander"
2,3,1807736,82.54816439828858,"SWIATEK, IGA","Alcaraz, Carlos"
3,4,2429266,70.55457994022835,"PAOLINI, JASMINE","Fritz, Taylor"
4,5,960105,85.27369525404698,"ZHENG, QINWEN","Medvedev, Daniil"
5,6,974175,83.04164929502316,"KREJCIKOVA, BARBORA","Ruud, Casper"
6,7,1403226,74.89688449489145,"PEGULA, JESSICA","Rublev, Andrey"
7,8,545000,87.67502315173404,"RYBAKINA, ELENA","Djokovic, Novak"
8,9,1568863,63.95305262050187,"MERTENS, ELISE","de Minaur, Alex"
9,10,1541473,64.09702613824203,"NAVARRO, EMMA","Tsitsipas, Stefanos"
10,11,1406118,62.59435089087672,"COLLINS, DANIELLE","Dimitrov, Grigor"
11,12,1005487,69.87729068865208,"OSTAPENKO, JELENA","Rune, Holger"
12,13,1096389,66.920857266472,"SINIAKOVA, KATERINA","Paul, Tommy"
13,14,1182299,63.46565187430666,"DOLEHIDE, CAROLINE","Humbert, Ugo"
14,15,1054950,65.53248464080859,"BADOSA, PAULA","Fils, Arthur"
15,16,1059802,65.37242058020527,"HADDAD MAIA, BEATRIZ","Draper, Jack"
16,17,1134822,62.90802263521166,"ANDREEVA, MIRRA","Tiafoe, Frances"
17,18,1074005,64.11287883875964,"KASATKINA, DARIA","Hurkacz, Hubert"
18,19,1000599,65.41604135977376,"KALINSKAYA, ANNA","Thompson, Jordan"
19,20,1004492,65.24377817153483,"VEKIC, DONNA","Khachanov, Karen"
20,21,909145,66.80270881745936,"SAKKARI, MARIA","Popyrin, Alexei"
21,22,921042,66.08802939934367,"KOSTYUK, MARTA","Musetti, Lorenzo"
22,23,880050,66.87774630924265,"MUCHOVA, KAROLINA","Shelton, Ben"
23,24,715348,69.50491115752068,"HSIEH, SU-WEI","Korda, Sebastian"
24,25,661159,70.60713456916687,"SHNAIDER, DIANA","Machac, Tomas"
25,26,589883,72.76670378516332,"TOWNSEND, TAYLOR","Jarry, Nicolas"
26,27,573654,72.59159879712526,"ERRANI, SARA","Auger-Aliassime, Felix"
27,28,568567,72.15271152139458,"YASTREMSKA, DAYANA","Tabilo, Alejandro"
28,29,527761,73.51909470558513,"KEYS, MADISON","Cerundolo, Francisco"
29,30,415799,77.88242015204676,"SAMSONOVA, LIUDMILA","Arnaldi, Matteo"
30,31,326087,81.51146011991666,"SVITOLINA, ELINA","Purcell, Max"
31,32,338635,80.79451231270063,"PUTINTSEVA, YULIA","Griekspoor, Tallon"
32,33,347588,80.25537116752953,"AZARENKA, VICTORIA","Baez, Sebastian"
33,34,336239,80.41807966855534,"ALEXANDROVA, EKATERINA","Lehecka, Jiri"
34,35,357284,79.15745199669819,"NOSKOVA, LINDA","Bublik, Alexander"
35,36,319157,80.88057073674234,"GARCIA, CAROLINE","Zhang, Zhizhen"
36,37,277956,82.80176390261288,"FERNANDEZ, LEYLAH","Cobolli, Flavio"
37,38,263299,83.45765791462661,"KRAWCZYK, DESIRAE","Michelsen, Alex"
38,39,272629,82.79596966203293,"ROUTLIFFE, ERIN","Etcheverry, Tomas Martin"
39,40,217867,85.66746508587995,"KUDERMETOVA, VERONIKA","Monfils, Gael"
40,41,194509,86.91509128067412,"POTAPOVA, ANASTASIA","Marozsan, Fabian"
41,42,165755,88.59263908474088,"WANG, XINYU","Borges, Nuno"
42,43,160089,88.90952571628881,"PAVLYUCHENKOVA, ANASTASIA","Mpetshi Perricard, Giovanni"
43,44,144269,89.8339756287131,"KENIN, SOFIA","Nakashima, Brandon"
44,45,194224,86.27403866539647,"BOULTER, KATIE","Mannarino, Adrian"
45,46,231029,83.60314950347201,"VONDROUSOVA, MARKETA","Struff, Jan-Lennard"
46,47,214778,84.14494247154582,"BUCSA, CRISTINA","Kecmanovic, Miomir"
47,48,156592,87.83228835375505,"DABROWSKI, GABRIELA","Mensik, Jakub"
48,49,154838,87.91014790818028,"FRECH, MAGDALENA","Arevalo, Marcelo"
49,50,225119,82.42256156073854,"SIEGEMUND, LAURA","Pavic, Mate"
50,51,220894,82.62622480970127,"JABEUR, ONS","Norrie, Cameron"
51,52,225207,81.82570162958348,"ANISIMOVA, AMANDA","Davidovich Fokina, Alejandro"
52,53,247931,79.91581737425058,"WANG, YAFAN","Shang, Juncheng"
53,54,248658,79.76575742312009,"STEARNS, PEYTON","Sonego, Lorenzo"
54,55,197592,83.08329673321467,"AVANESYAN, ELINA","Shapovalov, Denis"
55,56,195955,83.09775450405962,"SORRIBES TORMO, SARA","Vavassori, Andrea"
56,57,197839,82.9086093218699,"BOUZKOVA, MARIE","Giron, Marcos"
57,58,187563,83.57520031525023,"LINETTE, MAGDA","Mektic, Nikola"
58,59,182773,83.92222060951526,"YUAN, YUE","Koolhof, Wesley"
59,60,184081,83.79940876259944,"KRUEGER, ASHLYN","Safiullin, Roman"
60,61,232109,79.55986279836732,"KALININA, ANHELINA","Bautista Agut, Roberto"
61,62,222542,80.06283724401258,"WOZNIACKI, CAROLINE","Darderi, Luciano"
62,63,212806,80.76408191305212,"COCCIARETTO, ELISABETTA","Granollers, Marcel"
63,64,214069,80.6499170655205,"STEPHENS, SLOANE","Zeballos, Horacio"
64,65,233939,78.80699370385469,"OSAKA, NAOMI","Krawietz, Kevin"
65,66,235173,78.52928824453129,"RUS, ARANTXA","Puetz, Tim"
66,67,207738,80.5371221383701,"KICHENOK, LYUDMYLA","Navone, Mariano"
67,68,213279,79.99290818063876,"GRACHEVA, VARVARA","Martinez, Pedro"
68,69,203555,80.6626501445872,"PARRY, DIANE","Carballes Baena, Roberto"
69,70,226533,78.34362936577587,"ZHANG, SHUAI","Rinderknech, Arthur"
70,71,191123,81.06648914302244,"BLINKOVA, ANNA","Shevchenko, Alexander"
71,72,173138,82.46126573302605,"TAUSON, CLARA","Heliovaara, Harri"
