,Name,Total,Singles,Doubles
45,"NAVARRO, EMMA","498,089","463,806","34,283"
0,,"494,838","386,947","107,891"
1,,"492,955","492,258",697
2,,"490,592","482,092","8,500"
3,,"484,699","457,858","26,841"
4,,"483,501","386,918","96,583"
5,,"480,557","455,476","25,081"
6,,"477,555","148,811","323,744"
7,,"475,615","475,180",435
8,,"474,440","461,066","13,374"
9,,"472,550","459,030","13,520"
10,,"462,097","435,590","26,507"
11,,"459,771","446,471","13,300"
12,,"453,830","2,585","320,884"
13,,"446,345","432,416","13,929"
14,,"428,227","217,174","211,053"
15,,"427,602","418,896","8,706"
16,,"424,102","23,295","362,253"
17,,"417,515","395,309","22,206"
18,,"416,555","402,867","13,688"
19,,"416,487","407,156","9,331"
20,,"402,060","386,604","6,727"
21,,"401,685","355,250","46,435"
22,,"396,277","390,653","5,624"
23,,"385,489","357,677","27,812"
24,,"383,692",,"383,692"
25,,"382,309","362,412","15,897"
26,,"381,770","44,275","304,395"
27,,"380,929","347,231","33,698"
28,,"379,807","4,560","249,247"
29,,"379,183","317,417","28,987"
30,,"374,638","351,572","23,066"
31,,"368,954","291,329","77,625"
32,,"368,592","333,464","35,128"
33,,"367,296","351,047","16,249"
34,,"360,420","328,550","31,870"
35,,"355,309",,"212,755"
36,,"353,423","353,423",
37,,"348,739",,"306,960"
38,,"348,267","318,114","30,153"
39,,"347,280","346,900",380
40,,"344,933","6,860","324,519"
41,,"344,932","340,932",
42,,"338,658","302,340","29,218"
43,,"337,058","313,617","23,441"
44,,"336,731","293,003","43,727"
45,,"334,462","234,937","99,525"
0,"HRUNCAKOVA, VIKTORIA","332,168","295,753","36,415"
1,"SHNAIDER, DIANA","329,692","326,613","3,079"
2,"HIBINO, NAO","327,951","312,777","15,174"
3,"BONAVENTURE, YSALINE","323,740","298,811","24,929"
4,"MANDLIK, ELIZABETH","319,248","307,323","11,925"
5,"SCHUURS, DEMI","317,338","12,848","279,161"
6,"WOZNIACKI, CAROLINE","314,778","314,778",
