,Rank,diff,pct,women,men
0,1,-1060148,118.85176419877584,"SWIATEK, IGA","Sinner, Jannik"
1,2,1052336,77.92533804668476,"SABALENKA, ARYNA","Zverev, Alexander"
2,3,1752742,61.49915749162489,"PAOLINI, JASMINE","Alcaraz, Carlos"
3,4,576491,81.78419703076196,"GAUFF, COCO","Ruud, Casper"
4,5,604125,79.1589765173024,"RYBAKINA, ELENA","Medvedev, Daniil"
5,6,777764,71.99504399516498,"COLLINS, DANIELLE","Tsitsipas, Stefanos"
6,7,607173,74.87408551384408,"ZHENG, QINWEN","de Minaur, Alex"
7,8,667843,70.14483605527722,"SAKKARI, MARIA","Rublev, Andrey"
8,9,832095,59.95806663814647,"OSTAPENKO, JELENA","Hurkacz, Hubert"
9,10,652659,65.553602162654,"ANDREEVA, MIRRA","Fritz, Taylor"
10,11,639899,65.46787087694153,"MERTENS, ELISE","Dimitrov, Grigor"
11,12,650156,64.88708505817894,"KOSTYUK, MARTA","Djokovic, Novak"
12,13,624836,64.82828885524027,"KALINSKAYA, ANNA","Paul, Tommy"
13,14,315679,78.06006673463843,"YASTREMSKA, DAYANA","Humbert, Ugo"
14,15,244428,81.87172973874993,"VONDROUSOVA, MARKETA","Auger-Aliassime, Felix"
15,16,244505,81.6082002431128,"GARCIA, CAROLINE","Jarry, Nicolas"
16,17,201331,84.22909952859084,"SINIAKOVA, KATERINA","Khachanov, Karen"
17,18,173005,86.0884955182931,"AZARENKA, VICTORIA","Korda, Sebastian"
18,19,206255,83.20033753267201,"NAVARRO, EMMA","Baez, Sebastian"
19,20,280874,76.61598968310858,"NOSKOVA, LINDA","Rune, Holger"
20,21,267290,77.19294652898301,"ALEXANDROVA, EKATERINA","Bublik, Alexander"
21,22,223326,80.05139762413278,"HADDAD MAIA, BEATRIZ","Thompson, Jordan"
22,23,247158,77.81288740909773,"JABEUR, ONS","Musetti, Lorenzo"
23,24,256665,76.84208151940992,"KASATKINA, DARIA","Zhang, Zhizhen"
24,25,258002,76.62428265190927,"POTAPOVA, ANASTASIA","Griekspoor, Tallon"
25,26,232678,78.23818302043671,"KEYS, MADISON","Cerundolo, Francisco"
26,27,184756,81.75175488587686,"PAVLYUCHENKOVA, ANASTASIA","Shelton, Ben"
27,28,186864,81.12395234925295,"PEGULA, JESSICA","Struff, Jan-Lennard"
28,29,222144,77.19506624029238,"SVITOLINA, ELINA","Norrie, Cameron"
29,30,209606,77.78839816123721,"KREJCIKOVA, BARBORA","Lehecka, Jiri"
30,31,199785,78.48507626633125,"BOULTER, KATIE","Tabilo, Alejandro"
31,32,198713,78.5589584673086,"PUTINTSEVA, YULIA","Machac, Tomas"
32,33,167927,81.25195377044201,"KENIN, SOFIA","Etcheverry, Tomas Martin"
33,34,124398,85.31130150573388,"ERRANI, SARA","Arnaldi, Matteo"
34,35,115726,86.11449071907658,"BUCSA, CRISTINA","Marozsan, Fabian"
35,36,118154,85.60561575178416,"FERNANDEZ, LEYLAH","Davidovich Fokina, Alejandro"
36,37,128411,83.8194230934008,"CIRSTEA, SORANA","Mannarino, Adrian"
37,38,98556,87.05780233720152,"VEKIC, DONNA","Draper, Jack"
38,39,90055,88.01168812151387,"SIEGEMUND, LAURA","Vavassori, Andrea"
39,40,82717,88.68084349384895,"HSIEH, SU-WEI","Kecmanovic, Miomir"
40,41,64056,90.96878070926145,"DOLEHIDE, CAROLINE","Koepfer, Dominik"
41,42,57988,91.70430306732493,"SORRIBES TORMO, SARA","Fils, Arthur"
42,43,64138,90.74833503784299,"SAMSONOVA, LIUDMILA","Borges, Nuno"
43,44,44031,93.30258748800257,"WANG, XINYU","Sonego, Lorenzo"
44,45,41856,93.50522998431238,"STEPHENS, SLOANE","Tiafoe, Frances"
45,46,43219,93.29264128923322,"KALININA, ANHELINA","Monfils, Gael"
46,47,44162,93.08262102907015,"HUNTER, STORM","Granollers, Marcel"
47,48,44388,93.04722119103225,"AVANESYAN, ELINA","Zeballos, Horacio"
48,49,70087,88.9607996320634,"COCCIARETTO, ELISABETTA","Arevalo, Marcelo"
49,50,76209,87.99654114400559,"GRACHEVA, VARVARA","Pavic, Mate"
50,51,75002,88.101474267348,"KERBER, ANGELIQUE","Ofner, Sebastian"
51,52,96583,84.60924340957295,"KUDERMETOVA, VERONIKA","Cobolli, Flavio"
52,53,98314,84.32428640217866,"FRECH, MAGDALENA","Bopanna, Rohan"
53,54,99946,84.0640715335776,"YUAN, YUE","Ebden, Matthew"
54,55,85156,86.03654347223657,"RUS, ARANTXA","Lajovic, Dusan"
55,56,89514,84.9939649969825,"BLINKOVA, ANNA","Bolelli, Simone"
56,57,85650,85.46232850554773,"BADOSA, PAULA","Navone, Mariano"
57,58,72754,87.35038633534326,"PARRY, DIANE","Hanfmann, Yannick"
58,59,75540,86.83988174360243,"PLISKOVA, KAROLINA","Kotov, Pavel"
59,60,65778,88.3309650397288,"OSAKA, NAOMI","Shevchenko, Alexander"
60,61,62208,88.81537310856683,"TAUSON, CLARA","Seyboth Wild, Thiago"
61,62,85180,84.64968003647458,"BOUZKOVA, MARIE","Carballes Baena, Roberto"
62,63,82993,84.92316523969647,"LINETTE, MAGDA","Giron, Marcos"
63,64,81696,85.06883840109951,"KRUEGER, ASHLYN","Popyrin, Alexei"
64,65,82270,84.944201861524,"STEARNS, PEYTON","Munar, Jaume"
65,66,90005,83.52733395559949,"MARIA, TATJANA","Shapovalov, Denis"
66,67,87859,83.81639709038127,"SHNAIDER, DIANA","Purcell, Max"
67,68,76018,85.62698763835476,"BUREL, CLARA","Eubanks, Christopher"
68,69,93966,82.23076966716022,"TOMOVA, VIKTORIYA","Darderi, Luciano"
69,70,97373,81.43253220651833,"WANG, XIYU","Muller, Alexandre"
70,71,98917,81.01783709617064,"TSURENKO, LESIA","Coric, Borna"
71,72,92830,81.97335715395371,"PERA, BERNARDA","Michelsen, Alex"
72,73,96305,81.14062916137927,"WANG, YAFAN","Ruusuvuori, Emil"
73,74,96489,81.05789485049736,"BOGDAN, ANA","Altmaier, Daniel"
74,75,96350,80.75432653126448,"BRONZETTI, LUCIA","Safiullin, Roman"
75,76,99687,80.07762147340904,"ANISIMOVA, AMANDA","Kokkinakis, Thanasi"
76,77,101020,79.69520700758565,"MINNEN, GREET","van de Zandschulp, Botic"
77,78,78365,83.3574375996823,"TIMOFEEVA, MARIA","Hijikata, Rinky"
78,79,77671,83.44470235164474,"ZHU, LIN","Koolhof, Wesley"
79,80,75939,83.67117431906782,"PODOROSKA, NADIA","Nakashima, Brandon"
80,81,72489,84.23243825247152,"PARKS, ALYCIA","Mektic, Nikola"
81,82,69180,84.76426230663519,"SAVILLE, DARIA","Mensik, Jakub"
82,83,69342,84.67312525280657,"TOWNSEND, TAYLOR","Van Assche, Luca"
83,84,66587,85.14790312579461,"DANILOVIC, OLGA","O'Connell, Christopher"
84,85,65899,85.21601988576454,"DODIN, OCEANE","Cazaux, Arthur"
85,86,64420,85.45052115682134,"WOZNIACKI, CAROLINE","Moutet, Corentin"
86,87,80345,81.75809754746368,"TREVISAN, MARTINA","Fucsovics, Marton"
87,88,77052,82.35649712856869,"SHERIF, MAYAR","Vukic, Aleksandar"
88,89,77251,82.09942626217686,"ROUTLIFFE, ERIN","Murray, Andy"
89,90,70458,83.25570120820936,"VOLYNETS, KATIE","Daniel, Taro"
90,91,64424,84.43251811703641,"KORPATSCH, TAMARA","Rinderknech, Arthur"
91,92,65377,84.18675864471061,"TOMLJANOVIC, AJLA","Martinez, Pedro"
92,93,69119,83.27092918843955,"CRISTIAN, JAQUELINE","Bautista Agut, Roberto"
93,94,65032,83.83502940576979,"MARTIC, PETRA","Evans, Daniel"
94,95,67519,83.02770858103811,"MATTEK-SANDS, BETHANIE","Cachin, Pedro"
95,96,74658,81.09239547481747,"SCHMIEDLOVA, ANNA KAROLINA","Kovacevic, Aleksandar"
96,97,78912,79.98280152503291,"OSORIO, CAMILA","Nagal, Sumit"
97,98,78806,79.74518920613869,"KICHENOK, LYUDMYLA","Bergs, Zizou"
98,99,76514,80.17340561158387,"KRUNIC, ALEKSANDRA","Diaz Acosta, Facundo"
99,100,81788,78.69654796975404,"BAPTISTE, HAILEY","Galan, Daniel Elahi"
100,101,64540,82.32473304979145,"GOLUBIC, VIKTORIJA","Shang, Juncheng"
101,102,64774,82.19266582176171,"HIBINO, NAO","Goffin, David"
102,103,62952,82.57909724124762,"KRAWCZYK, DESIRAE","Gasquet, Richard"
103,104,57376,83.6970358246954,"MASAROVA, REBEKA","Coria, Federico"
104,105,69567,80.18152760091276,"RAKHIMOVA, KAMILLA","Mpetshi Perricard, Giovanni"
105,106,70888,79.56016642974745,"PEREZ, ELLEN","Nishioka, Yoshihito"
106,107,67300,79.78493331731346,"RADUCANU, EMMA","Zeppieri, Giulio"
107,108,68596,79.35683461031496,"BEGU, IRINA-CAMELIA","Gaston, Hugo"
108,109,75769,76.78446680475041,"SASNOVICH, ALIAKSANDRA","Gille, Sander"
109,110,76599,76.53015577316683,"DABROWSKI, GABRIELA","Vliegen, Joran"
110,111,69885,78.08148287542342,"SCHUURS, DEMI","de Jong, Jesper"
111,112,67599,78.63650872408138,"DAY, KAYLA","Nardi, Luca"
112,113,81711,74.17306458393256,"MELICHAR-MARTINEZ, NICOLE","Marterer, Maximilian"
113,114,87664,72.2700744934917,"PAQUET, CHLOE","Monteiro, Thiago"
114,115,87635,72.18466323874817,"FRUHVIRTOVA, BRENDA","Krawietz, Kevin"
115,116,87657,72.1776804418206,"SRAMKOVA, REBECCA","Puetz, Tim"
116,117,84898,72.57798822989812,"FRUHVIRTOVA, LINDA","Dodig, Ivan"
117,118,84430,72.50669992477849,"ANDREEVA, ERIKA","Wawrinka, Stan"
118,119,86420,71.74718272792362,"UCHIJIMA, MOYUKA","Krajicek, Austin"
119,120,86640,71.54483560442591,"ZAKHAROVA, ANASTASIA","Barrere, Gregoire"
120,121,86279,71.4875363928077,"CARLE, MARIA LOURDES","Djere, Laslo"
121,122,87230,71.08678935086975,"ZIDANSEK, TAMARA","Walton, Adam"
122,123,86642,71.2051420101431,"KESSLER, MCCARTNEY","Nys, Hugo"
123,124,80415,72.58940866885729,"BEKTAS, EMINA","Atmane, Terence"
124,125,78431,72.98203188513635,"KAWA, KATARZYNA","Zielinski, Jan"
125,126,75562,73.68058071167832,"ZARAZUA, RENATA","Lestienne, Constant"
126,127,71714,74.44271403166775,"BAI, ZHUOXUAN","Venus, Michael"
127,128,68967,74.74448598746874,"CORNET, ALIZÉ","Mayot, Harold"
128,129,65149,75.68468354146917,"DART, HARRIET","Berrettini, Matteo"
129,130,61002,76.82356472282272,"MUHAMMAD, ASIA","Kwon, Soonwoo"
130,131,60999,76.79561163586011,"HONTAMA, MAI","McDonald, Mackenzie"
131,132,54917,78.49731397516014,"STEFANI, LUISA","Molteni, Andres"
132,133,56709,77.51222355726335,"GADECKI, OLIVIA","Wolf, J.J."
133,134,51578,79.10002633871589,"BEJLEK, SARA","Nadal, Rafael"
134,135,50945,79.30200906006866,"FERRO, FIONA","Klein, Lukas"
135,136,50407,79.38406167563036,"RIERA, JULIA","Kovalik, Jozef"
136,137,49969,79.44669071524645,"STARODUBTSEVA, YULIIA","Raonic, Milos"
137,138,49777,79.45569583682432,"NIEMEIER, JULE","Fognini, Fabio"
138,139,50045,79.33152164934829,"BOUZAS MANEIRO, JESSICA","Behar, Ariel"
139,140,52495,78.2943076051586,"LIU, CLAIRE","Duckworth, James"
140,141,56206,76.74545612518048,"JEANJEAN, LEOLIA","Pavlasek, Adam"
141,142,56416,76.63798315430293,"GIORGI, CAMILA","Mochizuki, Shintaro"
142,143,59688,74.92332641520531,"PRESTON, TAYLAH","Skupski, Neal"
143,144,49092,78.40828623578827,"WATSON, HEATHER","Grenier, Hugo"
144,145,48174,78.70640080977029,"BIRRELL, KIMBERLY","Melo, Marcelo"
145,146,47309,78.82498802698069,"ANDREESCU, BIANCA","Gonzalez, Maximo"
146,147,46779,78.9192623837335,"MLADENOVIC, KRISTINA","Medjedovic, Hamad"
147,148,50791,77.0132785416233,"ROGERS, SHELBY","Moreno De Alboran, Nicolas"
148,149,51234,76.79892766250352,"SUN, LULU","Vacherot, Valentin"
