,Rank,diff,pct,women,men
0,1,1505400,79.71784441670816,"SABALENKA, ARYNA","Alcaraz, Carlos"
1,2,-1218749,128.1576311112795,"GAUFF, COCO","Sinner, Jannik"
2,3,-111748,103.22909876046621,"KEYS, MADISON","Zverev, Alexander"
3,4,-337928,110.70342164376237,"ANDREEVA, MIRRA","Draper, Jack"
4,5,-686922,127.00605641250439,"SWIATEK, IGA","Ruud, Casper"
5,6,-601199,124.18612079643756,"PAOLINI, JASMINE","Musetti, Lorenzo"
6,7,569493,75.7662140701516,"PEGULA, JESSICA","Djokovic, Novak"
7,8,393226,81.71025697436396,"SVITOLINA, ELINA","Rune, Holger"
8,9,386247,81.62648166629721,"RYBAKINA, ELENA","de Minaur, Alex"
9,10,566137,71.56262243698576,"ZHENG, QINWEN","Mensik, Jakub"
10,11,560157,71.6104669225401,"OSTAPENKO, JELENA","Fritz, Taylor"
11,12,468929,74.8865976952153,"ANISIMOVA, AMANDA","Shelton, Ben"
12,13,487669,73.41503582411268,"SHNAIDER, DIANA","Paul, Tommy"
13,14,539128,68.49319871805362,"TAUSON, CLARA","Rublev, Andrey"
14,15,541013,68.25018720789113,"ALEXANDROVA, EKATERINA","Tsitsipas, Stefanos"
15,16,449317,71.87631052185527,"BADOSA, PAULA","Cerundolo, Francisco"
16,17,506778,67.77629623694989,"NAVARRO, EMMA","Bublik, Alexander"
17,18,510695,67.3133862178523,"KUDERMETOVA, VERONIKA","Medvedev, Daniil"
18,19,457210,69.60442069167709,"SAMSONOVA, LIUDMILA","Machac, Tomas"
19,20,473543,67.95183805067413,"MERTENS, ELISE","Cobolli, Flavio"
20,21,481952,67.37922851637191,"MUCHOVA, KAROLINA","Auger-Aliassime, Felix"
21,22,405422,70.95394006261687,"BENCIC, BELINDA","Lehecka, Jiri"
22,23,427704,69.0834413993208,"HADDAD MAIA, BEATRIZ","Davidovich Fokina, Alejandro"
23,24,396489,70.51567397536336,"KOSTYUK, MARTA","Fils, Arthur"
24,25,368715,71.19621089734174,"KASATKINA, DARIA","Shapovalov, Denis"
25,26,312134,74.34865753969527,"SINIAKOVA, KATERINA","Khachanov, Karen"
26,27,339634,71.59122561217876,"VEKIC, DONNA","Tiafoe, Frances"
27,28,326997,72.14685810269812,"KENIN, SOFIA","Griekspoor, Tallon"
28,29,315655,72.63511873387522,"STEARNS, PEYTON","Hurkacz, Hubert"
29,30,275181,74.082634260188,"TOWNSEND, TAYLOR","Popyrin, Alexei"
30,31,269724,74.24766822261707,"BOISSON, LOIS","Baez, Sebastian"
31,32,259397,74.87327518150249,"ERRANI, SARA","Humbert, Ugo"
32,33,258267,74.89184517478792,"FERNANDEZ, LEYLAH","Nakashima, Brandon"
33,34,246800,75.65306605634913,"PUTINTSEVA, YULIA","Dimitrov, Grigor"
34,35,267331,73.62028269304398,"KRUEGER, ASHLYN","Arevalo, Marcelo"
35,36,271335,73.22517554835424,"RADUCANU, EMMA","Pavic, Mate"
36,37,311880,68.8197950512372,"YASTREMSKA, DAYANA","Korda, Sebastian"
37,38,276861,71.129156047568,"KALINSKAYA, ANNA","Muller, Alexandre"
38,39,270022,71.56956886131712,"LINETTE, MAGDA","Borges, Nuno"
39,40,206300,76.70148080554377,"COLLINS, DANIELLE","Etcheverry, Tomas Martin"
40,41,202329,77.02018481164477,"NOSKOVA, LINDA","Munar, Jaume"
41,42,205938,76.17569582706216,"DANILOVIC, OLGA","Sonego, Lorenzo"
42,43,204331,76.0587111159541,"SIEGEMUND, LAURA","Michelsen, Alex"
43,44,198965,76.45418053234746,"JABEUR, ONS","Altmaier, Daniel"
44,45,200762,76.05357952241228,"POTAPOVA, ANASTASIA","Marozsan, Fabian"
45,46,202035,75.82778485669675,"PAVLYUCHENKOVA, ANASTASIA","Monfils, Gael"
46,47,203569,75.45894896227144,"SAKKARI, MARIA","Berrettini, Matteo"
47,48,173161,78.1598699387153,"BAPTISTE, HAILEY","Norrie, Cameron"
48,49,180464,77.2173056772418,"FRECH, MAGDALENA","Arnaldi, Matteo"
49,50,174905,77.58702878363451,"CRISTIAN, JAQUELINE","Martinez, Pedro"
50,51,175867,77.45656144848581,"UCHIJIMA, MOYUKA","Diallo, Gabriel"
51,52,197478,74.56003277290463,"LYS, EVA","Kecmanovic, Miomir"
52,53,180921,76.1590948623476,"BOULTER, KATIE","Giron, Marcos"
53,54,185877,75.36121037952938,"BOUZAS MANEIRO, JESSICA","Halys, Quentin"
54,55,182430,75.55927107867174,"BUCSA, CRISTINA","Darderi, Luciano"
55,56,170094,76.64605790499101,"EALA, ALEXANDRA","Fearnley, Jacob"
56,57,169051,76.29935677073111,"KESSLER, MCCARTNEY","Bautista Agut, Roberto"
57,58,152361,78.11546615647138,"SRAMKOVA, REBECCA","Bergs, Zizou"
58,59,155783,77.55498404328125,"OSAKA, NAOMI","Mpetshi Perricard, Giovanni"
59,60,165505,76.06739103400207,"CIRSTEA, SORANA","Fonseca, Joao"
60,61,154418,77.14634991016483,"GADECKI, OLIVIA","Opelka, Reilly"
61,62,152194,77.28485054722982,"DOLEHIDE, CAROLINE","Zeballos, Horacio"
62,63,149889,77.41989424684775,"ZHANG, SHUAI","Moutet, Corentin"
63,64,149872,77.30178514905018,"BOUZKOVA, MARIE","Heliovaara, Harri"
64,65,160396,75.70791829539242,"MARIA, TATJANA","Patten, Henry"
65,66,171195,73.93085994128181,"WANG, XINYU","Granollers, Marcel"
66,67,175253,73.15056110919606,"BLINKOVA, ANNA","Thompson, Jordan"
67,68,173384,73.07074629183816,"BRONZETTI, LUCIA","Tien, Learner"
68,69,159996,74.5662240549129,"AZARENKA, VICTORIA","Navone, Mariano"
69,70,166871,73.43863162100257,"STARODUBTSEVA, YULIIA","Ugo Carabelli, Camilo"
70,71,166826,73.3630317981143,"KUDERMETOVA, POLINA","Shevchenko, Alexander"
71,72,160824,73.77812561142633,"ZARAZUA, RENATA","Dzumhur, Damir"
72,73,127832,77.9351961170143,"PERA, BERNARDA","Carreno Busta, Pablo"
73,74,112461,80.03312986694789,"RUSE, ELENA-GABRIELA","Rinderknech, Arthur"
74,75,116694,79.26118389717853,"KARTAL, SONAY","Tabilo, Alejandro"
75,76,119714,78.59823192369919,"KALININA, ANHELINA","Vukic, Aleksandar"
76,77,119970,78.50385235620857,"SUN, LULU","Cash, Julian"
77,78,109938,79.91134077885627,"BIRRELL, KIMBERLY","Glasspool, Lloyd"
78,79,115358,78.87548847617408,"AVANESYAN, ELINA","Comesana, Francisco"
79,80,112954,78.90973049475889,"LAMENS, SUZAN","Vavassori, Andrea"
80,81,94506,81.71475670561466,"COCCIARETTO, ELISABETTA","Harrison, Christian"
81,82,93203,81.80378789209915,"LI, ANN","Struff, Jan-Lennard"
82,83,100389,80.39997032339687,"JOINT, MAYA","Bu, Yunchaokete"
83,84,109766,78.36151019571355,"OSORIO, CAMILA","Bonzi, Benjamin"
84,85,115486,77.1853818602786,"SHERIF, MAYAR","King, Evan"
85,86,101501,79.33359123671458,"MUHAMMAD, ASIA","Hijikata, Rinky"
86,87,85074,82.02364475811137,"TOMOVA, VIKTORIYA","Brooksby, Jenson"
87,88,86057,81.7963172534876,"GRACHEVA, VARVARA","Walton, Adam"
88,89,87640,81.36920604416629,"SCHUURS, DEMI","Salisbury, Joe"
89,90,90113,80.8434877254445,"RAKHIMOVA, KAMILLA","Skupski, Neal"
90,91,92014,80.37252400800338,"PARKS, ALYCIA","Bolelli, Simone"
91,92,91880,80.338365011363,"VOLYNETS, KATIE","O'Connell, Christopher"
92,93,97347,79.13006007126226,"TOMLJANOVIC, AJLA","Djere, Laslo"
93,94,97147,79.10322872077266,"VONDROUSOVA, MARKETA","Bellucci, Mattia"
94,95,94965,79.25894378194208,"BEGU, IRINA-CAMELIA","Medjedovic, Hamad"
95,96,95256,79.16334905371471,"HSIEH, SU-WEI","Gaston, Hugo"
96,97,91667,79.49967460510926,"YUAN, YUE","Quinn, Ethan"
97,98,91608,79.15176011142366,"NICHOLLS, OLIVIA","Carballes Baena, Roberto"
98,99,89168,79.562030411244,"JOVIC, IVA","Nardi, Luca"
99,100,88566,79.61478794463036,"BONDAR, ANNA","Jarry, Nicolas"
100,101,98021,77.43328705846059,"ARANGO, EMILIANA","Kovacevic, Aleksandar"
101,102,111372,74.26103194375754,"GARCIA, CAROLINE","Safiullin, Roman"
102,103,107330,74.59254086427498,"SONMEZ, ZEYNEP","van de Zandschulp, Botic"
103,104,112407,73.36907593605186,"SAVILLE, DARIA","Goffin, David"
104,105,112109,73.13821566771693,"DANILINA, ANNA","Lajovic, Dusan"
105,106,106026,74.19557392250348,"MONTGOMERY, ROBIN","Krawietz, Kevin"
106,107,108623,73.56352051557255,"BURRAGE, JODIE","Puetz, Tim"
107,108,83841,78.27762030852459,"JEANJEAN, LEOLIA","Nishioka, Yoshihito"
108,109,73960,80.13099146245143,"MINNEN, GREET","Gigante, Matteo"
109,110,70087,80.93415486731682,"RUS, ARANTXA","Schoolkate, Tristan"
110,111,67695,81.44757937432342,"GOLUBIC, VIKTORIJA","Duckworth, James"
111,112,69451,80.72443978174107,"ANDREEVA, ERIKA","Doumbia, Sadio"
112,113,70986,80.0148651159648,"MBOKO, VICTORIA","Reboul, Fabien"
113,114,71274,79.63483627635864,"PARRY, DIANE","de Jong, Jesper"
114,115,58611,82.55718443654804,"CARLE, MARIA LOURDES","Passaro, Francesco"
115,116,59562,82.27105093181012,"JACQUEMOT, ELSA","Zhang, Zhizhen"
116,117,66400,80.01937879526483,"BEJLEK, SARA","Kopriva, Vit"
117,118,65788,79.96662525274671,"MASAROVA, REBEKA","McDonald, Mackenzie"
118,119,63543,80.38681280692386,"ROUTLIFFE, ERIN","Faria, Jaime"
119,120,63371,80.42763869070782,"NIEMEIER, JULE","Nishikori, Kei"
120,121,65176,79.83896163352172,"TEICHMANN, JIL","Fucsovics, Marton"
121,122,64393,79.7732091533037,"PAQUET, CHLOE","Coric, Borna"
122,123,65543,79.33225490103334,"HIBINO, NAO","Ofner, Sebastian"
123,124,67996,78.54406613865135,"AIAVA, DESTANEE","Wawrinka, Stan"
124,125,69469,78.07573715753695,"MCNALLY, CATY","Hanfmann, Yannick"
125,126,61176,80.16361708543691,"TODONI, ANCA","Herbert, Pierre-Hugues"
126,127,68890,77.65125709651257,"GRABHER, JULIA","Cerundolo, Juan Manuel"
127,128,66241,78.14982187623697,"DART, HARRIET","Cazaux, Arthur"
128,129,67856,77.53536584154647,"PEREZ, ELLEN","Majchrzak, Kamil"
129,130,67708,77.10664944514699,"KATO, MIYU","Cilic, Marin"
130,131,65438,77.31030082800517,"MIHALIKOVA, TEREZA","Monteiro, Thiago"
131,132,68256,76.30641701205924,"BABOS, TIMEA","Goransson, Andre"
132,133,70483,75.21407195630998,"GIBSON, TALIA","Misolic, Filip"
133,134,69826,75.36706342206826,"ZHENG, SAISAI","Virtanen, Otto"
134,135,70084,75.19045056781172,"WU, FANG-HSIEN","Bhambri, Yuki"
135,136,72661,74.24939398664644,"WANG, XIYU","Garin, Cristian"
136,137,73955,73.70442141193621,"ROMERO GORMAZ, LEYRE","Basilashvili, Nikoloz"
137,138,75745,72.96356711724414,"HOZUMI, ERI","Seyboth Wild, Thiago"
138,139,75631,72.76776391119306,"KRUNIC, ALEKSANDRA","Mektic, Nikola"
139,140,77388,72.13512598748407,"KVITOVA, PETRA","Venus, Michael"
140,141,80974,70.61154865168947,"LEPCHENKO, VARVARA","Dellien, Hugo"
141,142,77549,71.43556989627534,"EIKERI, ULRIKKE","Arends, Sander"
142,143,77734,71.2727232411777,"JIANG, XINYU","Tseng, Chun-Hsin"
143,144,78912,70.71584963075667,"RIERA, JULIA","Johnson, Luke"
144,145,81171,69.84228418569226,"DABROWSKI, GABRIELA","Boyer, Tristan"
145,146,79224,70.3037322747872,"KICHENOK, LYUDMYLA","Rocha, Henrique"
146,147,83580,68.41544385786572,"STEFANINI, LUCREZIA","Verbeek, Sem"
147,148,87141,66.95085921470317,"MELICHAR-MARTINEZ, NICOLE","Guinard, Manuel"
148,149,83815,67.43581574612253,"VALENTOVA, TEREZA","Nys, Hugo"
149,150,81123,68.12906622245968,"SIERRA, SOLANA","Galan, Daniel Elahi"
150,151,77039,69.1071679197995,"STEFANI, LUISA","Atmane, Terence"
151,152,78173,68.6436292894246,"GAO, XINYU","Nava, Emilio"
152,153,78025,68.58416343885135,"MARTIC, PETRA","Habib, Hady"
153,154,76745,68.7849539776864,"FRUHVIRTOVA, LINDA","Royer, Valentin"
154,155,73658,69.65247306511753,"PARRIZAS DIAZ, NURIA","Harris, Billy"
155,156,74306,69.30087669286003,"INGLIS, MADDISON","Gasquet, Richard"
156,157,73972,69.20232985132418,"PODOROSKA, NADIA","Basavareddy, Nishesh"
157,158,69425,70.50351153730132,"ITO, AOI","Mannarino, Adrian"
158,159,68280,70.73421627877073,"FETT, JANA","Tirante, Thiago Agustin"
159,160,70466,69.781982229236,"SELEKHMETEVA, OKSANA","Molteni, Andres"
160,161,70696,69.66227524353089,"MARINO, REBECCA","Gille, Sander"
161,162,67962,70.34674439000128,"CHWALINSKA, MAJA","Krueger, Mitchell"
162,163,65564,70.9961823112279,"JONES, FRANCESCA","Arneodo, Romain"
163,164,65551,70.75913567910928,"PANOVA, ALEXANDRA","Roger-Vasselin, Edouard"
164,165,64295,71.09648590450759,"WICKMAYER, YANINA","Holt, Brandon"
165,166,64095,71.15241803002003,"ANDREESCU, BIANCA","Gomez, Federico Agustin"
166,167,64131,71.0818110900179,"KHROMACHEVA, IRINA","Zielinski, Jan"
167,168,55887,73.7001115299366,"HUNTER, STORM","Peers, John"
168,169,54587,74.04364179303195,"SORRIBES TORMO, SARA","Tu, Li"
169,170,49184,75.93961422372676,"HON, PRISCILLA","Romboli, Fernando"
170,171,45015,77.46500730891688,"SASNOVICH, ALIAKSANDRA","Moller, Elmer"
171,172,43168,78.18111975415346,"ERJAVEC, VERONIKA","Kotov, Pavel"
172,173,43890,77.76629534505555,"GARLAND, JOANNA","McCabe, James"
173,174,43621,77.85949578467051,"SHIBAHARA, ENA","Wong, Coleman"
174,175,44246,77.48913784507056,"KREJCIKOVA, BARBORA","Landaluce, Martin"
175,176,42949,77.92279222781947,"SNIGUR, DARIA","Spizzirri, Eliot"
176,177,42531,78.02810352843932,"MONNET, CAROLE","Matos, Rafael"
177,178,43817,77.3363470848678,"WANG, YAFAN","Svrcina, Dalibor"
178,179,44669,76.68717739957309,"XU, YIFAN","Eubanks, Christopher"
