,Rank,Name,Total,Singles,Doubles
0,1,"Alcaraz, Carlos","10,631,652","10,631,652",0
1,2,"Sinner, Jannik","9,041,298","9,035,053","6,245"
2,3,"Zverev, Alexander","4,242,458","4,191,872","50,586"
3,4,"Shelton, Ben","3,895,407","3,775,163","120,244"
4,5,"Fritz, Taylor","3,664,927","3,645,735","19,192"
5,6,"Djokovic, Novak","3,413,063","3,400,133","12,930"
6,7,"Draper, Jack","3,292,994","3,267,704","25,290"
7,8,"de Minaur, Alex","3,090,927","3,050,058","40,869"
8,9,"Musetti, Lorenzo","2,819,972","2,650,358","169,614"
9,10,"Ruud, Casper","2,722,174","2,703,124","19,050"
10,11,"Rune, Holger","2,532,814","2,526,569","6,245"
11,12,"Rublev, Andrey","2,491,976","2,442,205","49,771"
12,13,"Khachanov, Karen","2,476,153","2,414,638","61,515"
13,14,"Mensik, Jakub","2,384,728","2,310,577","74,151"
14,15,"Cobolli, Flavio","2,236,884","2,150,342","86,542"
15,16,"Paul, Tommy","2,045,871","2,028,471","17,400"
16,17,"Davidovich Fokina, Alejandro","2,035,208","2,003,109","32,099"
17,18,"Tsitsipas, Stefanos","1,906,710","1,872,842","33,868"
18,19,"Bublik, Alexander","1,885,889","1,856,365","29,524"
19,20,"Auger-Aliassime, Felix","1,873,375","1,849,246","24,129"
20,21,"Cerundolo, Francisco","1,839,895","1,785,113","54,782"
21,22,"Medvedev, Daniil","1,809,330","1,803,085","6,245"
22,23,"Lehecka, Jiri","1,796,993","1,709,096","87,897"
23,24,"Machac, Tomas","1,740,885","1,630,847","110,038"
24,25,"Tiafoe, Frances","1,621,078","1,580,909","40,169"
25,26,"Shapovalov, Denis","1,576,464","1,552,335","24,129"
26,27,"Sonego, Lorenzo","1,489,680","1,296,390","193,290"
27,28,"Griekspoor, Tallon","1,478,955","1,399,960","78,995"
28,29,"Norrie, Cameron","1,453,407","1,427,428","25,979"
29,30,"Nakashima, Brandon","1,445,606","1,388,501","57,105"
30,31,"Fils, Arthur","1,437,645","1,392,485","45,160"
31,32,"Popyrin, Alexei","1,424,435","1,292,161","132,274"
32,33,"Dimitrov, Grigor","1,342,888","1,333,363","9,525"
33,34,"Cash, Julian","1,341,093",0,"1,341,093"
34,35,"Glasspool, Lloyd","1,330,257",0,"1,330,257"
35,36,"Borges, Nuno","1,316,200","1,160,395","155,805"
36,37,"Michelsen, Alex","1,288,235","1,193,261","94,974"
37,38,"Darderi, Luciano","1,238,506","1,156,723","81,783"
38,39,"Baez, Sebastian","1,229,612","1,164,673","64,939"
39,40,"Humbert, Ugo","1,228,752","1,217,034","11,718"
40,41,"Munar, Jaume","1,213,423","1,088,804","124,619"
41,42T,"Arevalo, Marcelo","1,197,733",0,"1,197,733"
42,42T,"Pavic, Mate","1,197,733",0,"1,197,733"
43,44,"Muller, Alexandre","1,185,807","1,119,135","66,672"
44,45,"Hurkacz, Hubert","1,153,504","1,148,175","5,329"
45,46,"Diallo, Gabriel","1,122,232","1,081,723","40,509"
46,47,"Etcheverry, Tomas Martin","1,117,297","1,052,102","65,195"
47,48,"Martinez, Pedro","1,115,043","937,087","177,956"
48,49,"Marozsan, Fabian","1,114,540","1,081,084","33,456"
49,50,"Kecmanovic, Miomir","1,083,320","1,043,100","40,220"
50,51,"Thompson, Jordan","1,053,124","801,674","251,450"
51,52,"Korda, Sebastian","1,038,540","847,223","191,317"
52,53,"Moutet, Corentin","1,034,756","1,034,756",0
53,54,"Altmaier, Daniel","1,026,295","1,026,295",0
54,55,"Monfils, Gael","1,009,858","1,004,718","5,140"
55,56,"Arnaldi, Matteo","1,005,812","970,306","35,506"
56,57,"Giron, Marcos","1,005,085","962,650","42,435"
57,58,"Fonseca, Joao","999,497","993,252","6,245"
58,59,"Tien, Learner","985,367","938,900","46,467"
59,60,"Opelka, Reilly","965,099","958,854","6,245"
60,61,"Berrettini, Matteo","920,036","876,700","43,336"
61,62,"Rinderknech, Arthur","917,697","867,141","50,556"
62,63,"Halys, Quentin","914,322","879,487","34,835"
63,64,"Bautista Agut, Roberto","909,026","909,026",0
64,65,"Fearnley, Jacob","890,891","849,398","41,493"
65,66,"Mpetshi Perricard, Giovanni","889,082","816,233","72,849"
66,67,"Bergs, Zizou","879,454","850,786","28,668"
67,68,"Hijikata, Rinky","875,820","591,012","284,808"
68,69,"Ugo Carabelli, Camilo","874,032","835,093","38,939"
69,70,"Navone, Mariano","848,948","804,997","43,951"
70,71,"Comesana, Francisco","839,148","796,085","43,063"
71,72,"Dzumhur, Damir","838,735","805,551","33,184"
72,73,"Vukic, Aleksandar","810,034","774,507","35,527"
73,74,"Zeballos, Horacio","806,774",0,"806,774"
74,75,"Jarry, Nicolas","799,116","783,693","15,423"
75,76,"Bonzi, Benjamin","798,076","766,530","31,546"
76,77,"Bellucci, Mattia","791,738","738,923","52,815"
77,78,"Brooksby, Jenson","786,547","763,438","23,109"
78,79,"Shevchenko, Alexander","786,375","769,775","16,600"
79,80,"Granollers, Marcel","776,034",0,"776,034"
80,81,"Struff, Jan-Lennard","758,479","717,607","40,872"
81,82T,"Heliovaara, Harri","754,486",0,"754,486"
82,82T,"Patten, Henry","754,486",0,"754,486"
83,84,"Skupski, Neal","750,144",0,"750,144"
84,85,"Bu, Yunchaokete","734,416","699,019","35,397"
85,86,"Salisbury, Joe","730,289",0,"730,289"
86,87,"Walton, Adam","727,049","681,590","45,459"
87,88,"Quinn, Ethan","692,563","674,763","17,800"
88,89,"Kovacevic, Aleksandar","690,639","677,588","13,051"
89,90,"van de Zandschulp, Botic","684,529","633,697","50,832"
90,91,"Majchrzak, Kamil","680,728","676,475","4,253"
91,92,"Vavassori, Andrea","675,797","66,850","608,947"
92,93,"Fucsovics, Marton","653,573","653,573",0
93,94,"Medjedovic, Hamad","650,399","650,399",0
94,95,"Atmane, Terence","643,075","642,536",539
95,96,"Carballes Baena, Roberto","637,586","606,992","30,594"
96,97,"O'Connell, Christopher","637,139","624,021","13,118"
97,98,"Gaston, Hugo","635,107","631,056","4,051"
98,99,"Carreno Busta, Pablo","628,768","613,345","15,423"
99,100,"Cilic, Marin","624,962","624,962",0
100,101,"Nardi, Luca","622,629","622,629",0
101,102,"Safiullin, Roman","610,056","587,826","22,230"
102,103,"Mannarino, Adrian","608,595","598,073","10,522"
103,104,"Bolelli, Simone","604,119",0,"604,119"
104,105,"Goffin, David","597,289","573,685","23,604"
105,106,"Ofner, Sebastian","594,309","589,941","4,368"
106,107,"Tabilo, Alejandro","592,389","539,879","52,510"
107,108,"Djere, Laslo","587,808","576,492","11,316"
108,109,"Harrison, Christian","581,802",0,"581,802"
109,110,"de Jong, Jesper","579,235","558,571","20,664"
110,111,"King, Evan","567,552",0,"567,552"
111,112,"Cazaux, Arthur","556,782","526,341","30,441"
112,113,"Mektic, Nikola","548,564",0,"548,564"
113,114,"Nishioka, Yoshihito","548,013","548,013",0
