,Rank,diff,pct,women,men
0,1,-1060148,118.85176419877584,"SWIATEK, IGA","Sinner, Jannik"
1,2,1030676,78.3796959493972,"SABALENKA, ARYNA","Zverev, Alexander"
2,3,1752742,61.49915749162489,"PAOLINI, JASMINE","Alcaraz, Carlos"
3,4,529731,83.26170656142519,"GAUFF, COCO","Ruud, Casper"
4,5,582465,79.90620030151135,"RYBAKINA, ELENA","Medvedev, Daniil"
5,6,777764,71.99504399516498,"COLLINS, DANIELLE","Tsitsipas, Stefanos"
6,7,595350,75.36334259044304,"ZHENG, QINWEN","de Minaur, Alex"
7,8,659301,70.52669647818473,"SAKKARI, MARIA","Rublev, Andrey"
8,9,829205,60.0971387241652,"OSTAPENKO, JELENA","Hurkacz, Hubert"
9,10,773002,61.63860783741561,"ANDREEVA, MIRRA","Fritz, Taylor"
10,11,625135,66.26460966598923,"KALINSKAYA, ANNA","Dimitrov, Grigor"
11,12,628010,66.08312203130781,"MERTENS, ELISE","Djokovic, Novak"
12,13,566529,68.11036120977411,"KOSTYUK, MARTA","Paul, Tommy"
13,14,330236,77.3240176471598,"YASTREMSKA, DAYANA","Humbert, Ugo"
14,15,229494,82.9793262010272,"AZARENKA, VICTORIA","Auger-Aliassime, Felix"
15,16,211469,84.09318622200291,"VONDROUSOVA, MARKETA","Jarry, Nicolas"
16,17,172531,86.48509554299787,"SINIAKOVA, KATERINA","Khachanov, Karen"
17,18,160370,87.12186488437624,"GARCIA, CAROLINE","Baez, Sebastian"
18,19,213591,82.82493480678443,"NAVARRO, EMMA","Korda, Sebastian"
19,20,261911,78.19474381356997,"NOSKOVA, LINDA","Rune, Holger"
20,21,257046,78.32390268583717,"PEGULA, JESSICA","Bublik, Alexander"
21,22,200777,82.06558779891506,"ALEXANDROVA, EKATERINA","Thompson, Jordan"
22,23,209856,81.20940460989922,"HADDAD MAIA, BEATRIZ","Zhang, Zhizhen"
23,24,225498,79.7572827299813,"JABEUR, ONS","Musetti, Lorenzo"
24,25,240235,78.2340235458695,"KASATKINA, DARIA","Griekspoor, Tallon"
25,26,235726,78.45848483990032,"POTAPOVA, ANASTASIA","Tabilo, Alejandro"
26,27,243327,77.46663431655449,"KEYS, MADISON","Cerundolo, Francisco"
27,28,214880,79.3896505122374,"PAVLYUCHENKOVA, ANASTASIA","Shelton, Ben"
28,29,225393,77.23194939557737,"PUTINTSEVA, YULIA","Struff, Jan-Lennard"
29,30,230633,76.52814896081189,"SVITOLINA, ELINA","Norrie, Cameron"
30,31,202048,78.58930694580143,"KREJCIKOVA, BARBORA","Lehecka, Jiri"
31,32,195095,78.94933900741053,"BOULTER, KATIE","Machac, Tomas"
32,33,178577,80.29721278882202,"KENIN, SOFIA","Etcheverry, Tomas Martin"
33,34,119176,85.9279061419584,"ERRANI, SARA","Arnaldi, Matteo"
34,35,122075,85.5003866167648,"BUCSA, CRISTINA","Marozsan, Fabian"
35,36,111546,86.41065063094365,"FERNANDEZ, LEYLAH","Davidovich Fokina, Alejandro"
36,37,136328,83.1922910009074,"VEKIC, DONNA","Mannarino, Adrian"
37,38,92468,87.85726760944388,"CIRSTEA, SORANA","Draper, Jack"
38,39,93553,87.60375148405699,"SIEGEMUND, LAURA","Kecmanovic, Miomir"
39,40,96727,87.12349738415048,"HSIEH, SU-WEI","Vavassori, Andrea"
40,41,69681,90.34228405584985,"DOLEHIDE, CAROLINE","Ofner, Sebastian"
41,42,63288,91.07706059584956,"SORRIBES TORMO, SARA","Koepfer, Dominik"
42,43,61397,91.27816622297733,"WANG, XINYU","Borges, Nuno"
43,44,61350,91.2233391939778,"SAMSONOVA, LIUDMILA","Fils, Arthur"
44,45,89696,87.11888065692331,"STEPHENS, SLOANE","Monfils, Gael"
45,46,66149,90.14645728875263,"KALININA, ANHELINA","Sonego, Lorenzo"
46,47,54534,91.6289179485369,"AVANESYAN, ELINA","Cobolli, Flavio"
47,48,50198,92.21080692738227,"HUNTER, STORM","Tiafoe, Frances"
48,49,65036,89.86111176068007,"COCCIARETTO, ELISABETTA","Arevalo, Marcelo"
49,50,77564,87.90803974114935,"KERBER, ANGELIQUE","Pavic, Mate"
50,51,78358,87.72628093374122,"GRACHEVA, VARVARA","Granollers, Marcel"
51,52,83157,86.97458260301588,"KUDERMETOVA, VERONIKA","Zeballos, Horacio"
52,53,105128,83.53162698965949,"RUS, ARANTXA","Ebden, Matthew"
53,54,95424,84.78508356532637,"FRECH, MAGDALENA","Bopanna, Rohan"
54,55,86641,85.95221147968655,"YUAN, YUE","Purcell, Max"
55,56,99953,83.61020514914348,"BLINKOVA, ANNA","Lajovic, Dusan"
56,57,94107,84.34982604820095,"BADOSA, PAULA","Navone, Mariano"
57,58,90059,84.90260175685643,"OSAKA, NAOMI","Bolelli, Simone"
58,59,83441,85.75691107564417,"PARRY, DIANE","Hanfmann, Yannick"
59,60,79832,86.26402082627166,"PLISKOVA, KAROLINA","Shevchenko, Alexander"
60,61,80023,86.05888081504233,"TAUSON, CLARA","Kotov, Pavel"
61,62,96562,83.13029896977459,"BOUZKOVA, MARIE","Carballes Baena, Roberto"
62,63,102607,82.00132963561319,"LINETTE, MAGDA","Seyboth Wild, Thiago"
63,64,98901,82.47542331436186,"KRUEGER, ASHLYN","Giron, Marcos"
64,65,97571,82.63042181811709,"STEARNS, PEYTON","Munar, Jaume"
65,66,86438,84.25611901804287,"SHNAIDER, DIANA","Darderi, Luciano"
66,67,90766,83.41116072162895,"MARIA, TATJANA","Popyrin, Alexei"
67,68,90624,83.41404491297425,"BUREL, CLARA","Shapovalov, Denis"
68,69,110238,79.77599823880679,"TOMOVA, VIKTORIYA","Michelsen, Alex"
69,70,110061,79.60250638921681,"PERA, BERNARDA","Eubanks, Christopher"
70,71,101149,80.85039113675776,"WANG, XIYU","Ruusuvuori, Emil"
71,72,102240,80.5044734453538,"TSURENKO, LESIA","Muller, Alexandre"
72,73,105382,79.77720421028391,"WANG, YAFAN","Coric, Borna"
73,74,96489,81.05789485049736,"BOGDAN, ANA","Altmaier, Daniel"
74,75,92310,81.56130650857317,"BRONZETTI, LUCIA","Safiullin, Roman"
75,76,97481,80.51848905924932,"PARKS, ALYCIA","Kokkinakis, Thanasi"
76,77,96828,80.5377895875124,"ANISIMOVA, AMANDA","van de Zandschulp, Botic"
77,78,90630,81.442083040689,"MINNEN, GREET","Hijikata, Rinky"
78,79,88658,81.68934380860327,"ZHU, LIN","Mensik, Jakub"
79,80,76655,83.66125914131823,"TIMOFEEVA, MARIA","Koolhof, Wesley"
80,81,75939,83.67117431906782,"PODOROSKA, NADIA","Nakashima, Brandon"
81,82,75287,83.74145091035523,"SAVILLE, DARIA","Vukic, Aleksandar"
82,83,76656,83.32604652680348,"TOWNSEND, TAYLOR","Mektic, Nikola"
83,84,70674,84.37870921111089,"DANILOVIC, OLGA","Van Assche, Luca"
84,85,67099,85.03370255211516,"WOZNIACKI, CAROLINE","O'Connell, Christopher"
85,86,68214,84.77573366126488,"DODIN, OCEANE","Cazaux, Arthur"
86,87,73456,83.4293951377312,"TOMLJANOVIC, AJLA","Bautista Agut, Roberto"
87,88,82668,81.32914751617675,"TREVISAN, MARTINA","Moutet, Corentin"
88,89,80778,81.65978721375346,"SHERIF, MAYAR","Fucsovics, Marton"
89,90,76301,82.31955991806393,"ROUTLIFFE, ERIN","Murray, Andy"
90,91,79005,81.68955327655137,"VOLYNETS, KATIE","Daniel, Taro"
91,92,76385,82.18355013493246,"KORPATSCH, TAMARA","Martinez, Pedro"
92,93,78278,81.46502938488277,"CRISTIAN, JAQUELINE","Rinderknech, Arthur"
93,94,65032,83.83502940576979,"MARTIC, PETRA","Evans, Daniel"
94,95,67519,83.02770858103811,"MATTEK-SANDS, BETHANIE","Cachin, Pedro"
95,96,76973,80.61973150171714,"SCHMIEDLOVA, ANNA KAROLINA","Kovacevic, Aleksandar"
96,97,76022,80.71589286212556,"OSORIO, CAMILA","Nagal, Sumit"
97,98,75106,80.69616755724505,"KICHENOK, LYUDMYLA","Bergs, Zizou"
98,99,76724,80.27969907032573,"KRUNIC, ALEKSANDRA","Shang, Juncheng"
99,100,78399,79.68495734823122,"HIBINO, NAO","Diaz Acosta, Facundo"
100,101,78092,79.6592510399329,"BAPTISTE, HAILEY","Galan, Daniel Elahi"
101,102,66088,82.173597568048,"GOLUBIC, VIKTORIJA","Nishioka, Yoshihito"
102,103,60647,83.32723938759969,"MASAROVA, REBEKA","Goffin, David"
103,104,60717,83.19759574273783,"KRAWCZYK, DESIRAE","Gasquet, Richard"
104,105,67004,80.96131114748137,"RAKHIMOVA, KAMILLA","Coria, Federico"
105,106,71396,79.66047615384835,"PEREZ, ELLEN","Mpetshi Perricard, Giovanni"
106,107,67300,79.78493331731346,"RADUCANU, EMMA","Zeppieri, Giulio"
107,108,68596,79.35683461031496,"BEGU, IRINA-CAMELIA","Gaston, Hugo"
108,109,72751,77.89348299720747,"SASNOVICH, ALIAKSANDRA","Gille, Sander"
109,110,72998,77.81842822545603,"SCHUURS, DEMI","Vliegen, Joran"
110,111,72547,77.82183363394577,"DAY, KAYLA","Nardi, Luca"
111,112,76343,76.65822800291072,"DABROWSKI, GABRIELA","Marterer, Maximilian"
112,113,83113,74.14683916001256,"MELICHAR-MARTINEZ, NICOLE","Monteiro, Thiago"
113,114,88904,72.14682256225171,"PAQUET, CHLOE","Walton, Adam"
114,115,91415,71.32887968887216,"FRUHVIRTOVA, BRENDA","de Jong, Jesper"
115,116,87657,72.1776804418206,"SRAMKOVA, REBECCA","Krawietz, Kevin"
116,117,88220,71.99898432044691,"FRUHVIRTOVA, LINDA","Puetz, Tim"
117,118,85818,72.41385961021052,"ANDREEVA, ERIKA","Djere, Laslo"
118,119,87247,71.81926239833591,"UCHIJIMA, MOYUKA","Dodig, Ivan"
119,120,89569,71.06458449093516,"ZAKHAROVA, ANASTASIA","Krajicek, Austin"
120,121,88397,71.21490883869056,"BEKTAS, EMINA","Wawrinka, Stan"
121,122,86201,71.6890163196805,"CARLE, MARIA LOURDES","Barrere, Gregoire"
122,123,87496,71.12857774522033,"KESSLER, MCCARTNEY","Nys, Hugo"
123,124,87043,71.13087834857335,"ZIDANSEK, TAMARA","Venus, Michael"
124,125,84508,71.6208501521247,"ZARAZUA, RENATA","Lestienne, Constant"
125,126,80585,72.53146176185867,"KAWA, KATARZYNA","Atmane, Terence"
126,127,82639,71.74271333415399,"BAI, ZHUOXUAN","Zielinski, Jan"
127,128,65302,76.08659828546527,"DART, HARRIET","Mayot, Harold"
128,129,61240,77.22226148278466,"STEFANI, LUISA","McDonald, Mackenzie"
129,130,63178,76.42031246501004,"NIEMEIER, JULE","Berrettini, Matteo"
130,131,58932,77.61001797064667,"MUHAMMAD, ASIA","Kwon, Soonwoo"
131,132,55673,78.56942140170835,"CORNET, ALIZÉ","Fognini, Fabio"
132,133,56126,78.32387131657205,"HONTAMA, MAI","Skupski, Neal"
133,134,57172,77.85044049620716,"BEJLEK, SARA","Molteni, Andres"
134,135,53288,78.86881039904512,"STARODUBTSEVA, YULIIA","Wolf, J.J."
135,136,48660,80.28243207650384,"FERRO, FIONA","Nadal, Rafael"
136,137,49287,79.97562313364617,"GADECKI, OLIVIA","Klein, Lukas"
137,138,50407,79.38406167563036,"RIERA, JULIA","Kovalik, Jozef"
138,139,49946,79.4561511029578,"BOUZAS MANEIRO, JESSICA","Raonic, Milos"
